panel,value_role,experimental_unit,unit_id,E,subject_id,Treatment,Sex,Genotype,study_day,value_name,plotted_value
C,mouse_trajectory_descriptive,mouse_descriptive_only,E2|FR5-2,E2,E2|FR5-2,Allulose,Female,POMC,1,body_weight_change_pct,0.0
C,mouse_trajectory_descriptive,mouse_descriptive_only,E2|FR5-2,E2,E2|FR5-2,Allulose,Female,POMC,3,body_weight_change_pct,-1.4270613107822574
C,mouse_trajectory_descriptive,mouse_descriptive_only,E2|FR5-2,E2,E2|FR5-2,Allulose,Female,POMC,6,body_weight_change_pct,3.1712473572938573
C,mouse_trajectory_descriptive,mouse_descriptive_only,E2|FR5-3,E2,E2|FR5-3,Allulose,Female,POMC,1,body_weight_change_pct,0.0
C,mouse_trajectory_descriptive,mouse_descriptive_only,E2|FR5-3,E2,E2|FR5-3,Allulose,Female,POMC,3,body_weight_change_pct,3.504316912138129
C,mouse_trajectory_descriptive,mouse_descriptive_only,E2|FR5-3,E2,E2|FR5-3,Allulose,Female,POMC,6,body_weight_change_pct,7.364144235652613
C,mouse_trajectory_descriptive,mouse_descriptive_only,E2|FR5-4,E2,E2|FR5-4,Allulose,Female,POMC,1,body_weight_change_pct,0.0
C,mouse_trajectory_descriptive,mouse_descriptive_only,E2|FR5-4,E2,E2|FR5-4,Allulose,Female,POMC,3,body_weight_change_pct,-12.15295966474594
C,mouse_trajectory_descriptive,mouse_descriptive_only,E2|FR5-4,E2,E2|FR5-4,Allulose,Female,POMC,6,body_weight_change_pct,-19.85332634887375
C,mouse_trajectory_descriptive,mouse_descriptive_only,E3|FR2-1,E3,E3|FR2-1,Sucrose,Male,POMC,1,body_weight_change_pct,0.0
C,mouse_trajectory_descriptive,mouse_descriptive_only,E3|FR2-1,E3,E3|FR2-1,Sucrose,Male,POMC,3,body_weight_change_pct,-0.1081860800577033
C,mouse_trajectory_descriptive,mouse_descriptive_only,E3|FR2-1,E3,E3|FR2-1,Sucrose,Male,POMC,6,body_weight_change_pct,0.3245582401730972
C,mouse_trajectory_descriptive,mouse_descriptive_only,E3|FR2-2,E3,E3|FR2-2,Sucrose,Male,POMC,1,body_weight_change_pct,0.0
C,mouse_trajectory_descriptive,mouse_descriptive_only,E3|FR2-2,E3,E3|FR2-2,Sucrose,Male,POMC,3,body_weight_change_pct,0.5997001499250246
C,mouse_trajectory_descriptive,mouse_descriptive_only,E3|FR2-2,E3,E3|FR2-2,Sucrose,Male,POMC,6,body_weight_change_pct,0.7796101949025427
C,mouse_trajectory_descriptive,mouse_descriptive_only,E3|FR2-3,E3,E3|FR2-3,Sucrose,Male,POMC,1,body_weight_change_pct,0.0
C,mouse_trajectory_descriptive,mouse_descriptive_only,E3|FR2-3,E3,E3|FR2-3,Sucrose,Male,POMC,3,body_weight_change_pct,3.422619047619054
C,mouse_trajectory_descriptive,mouse_descriptive_only,E3|FR2-3,E3,E3|FR2-3,Sucrose,Male,POMC,6,body_weight_change_pct,0.0
C,mouse_trajectory_descriptive,mouse_descriptive_only,E4|FR3-1,E4,E4|FR3-1,Sucrose,Male,POMC,1,body_weight_change_pct,0.0
C,mouse_trajectory_descriptive,mouse_descriptive_only,E4|FR3-1,E4,E4|FR3-1,Sucrose,Male,POMC,3,body_weight_change_pct,-1.6967126193001076
C,mouse_trajectory_descriptive,mouse_descriptive_only,E4|FR3-1,E4,E4|FR3-1,Sucrose,Male,POMC,6,body_weight_change_pct,-3.1459879816189487
C,mouse_trajectory_descriptive,mouse_descriptive_only,E5|FR4-1,E5,E5|FR4-1,Allulose,Male,POMC,1,body_weight_change_pct,0.0
C,mouse_trajectory_descriptive,mouse_descriptive_only,E5|FR4-1,E5,E5|FR4-1,Allulose,Male,POMC,3,body_weight_change_pct,-10.20408163265306
C,mouse_trajectory_descriptive,mouse_descriptive_only,E5|FR4-1,E5,E5|FR4-1,Allulose,Male,POMC,6,body_weight_change_pct,-0.4489795918367323
C,mouse_trajectory_descriptive,mouse_descriptive_only,E5|FR4-2,E5,E5|FR4-2,Allulose,Male,POMC,1,body_weight_change_pct,0.0
C,mouse_trajectory_descriptive,mouse_descriptive_only,E5|FR4-2,E5,E5|FR4-2,Allulose,Male,POMC,3,body_weight_change_pct,-14.676151254211913
C,mouse_trajectory_descriptive,mouse_descriptive_only,E5|FR4-2,E5,E5|FR4-2,Allulose,Male,POMC,6,body_weight_change_pct,-7.188318981654817
