endpoint,endpoint_label,test,comparison,n_animals,n_water,n_sucrose,n_allulose,feature_count,feature_transform,distance,centroid_definition,statistic,dispersion_f,p_value_exact,extreme_labelings,enumerated_labelings,permutation_exhaustive,experimental_unit,cells_as_independent_replicates,analysis_tier,water_mean_distance,water_sd_distance,sucrose_mean_distance,sucrose_sd_distance,allulose_mean_distance,allulose_sd_distance,small_sample_bias_adjustment,bh_q_value_two_endpoint_diagnostic_family,multiple_testing_family
cfos_occurrence,c-FOS-positive nuclei / DAPI nuclei spatial occurrence,exact animal-label multivariate dispersion diagnostic,Water|Sucrose|Allulose,9,3,3,3,6,arcsin(sqrt(shell positive nuclei / shell DAPI nuclei)),Euclidean in six-shell animal feature space,allocation-specific condition centroid recomputed for every labeling,one-way ANOVA F on Euclidean distances to allocated group centroids,4.71416619668,0.0642857142857,108,1680,True,biological animal,False,exploratory assumption diagnostic,0.189273632795,0.0830903608647,0.06113494281,0.0136940481756,0.0940001390035,0.036944510796,"not applied; every allocated group has n=3, so the common sqrt(3/2) distance factor leaves F and p unchanged",0.0642857142857,two declared multivariate-dispersion diagnostics corresponding to the two spatial endpoints
double_occurrence,c-FOS and NPY double-positive nuclei / DAPI nuclei spatial occurrence,exact animal-label multivariate dispersion diagnostic,Water|Sucrose|Allulose,9,3,3,3,6,arcsin(sqrt(shell positive nuclei / shell DAPI nuclei)),Euclidean in six-shell animal feature space,allocation-specific condition centroid recomputed for every labeling,one-way ANOVA F on Euclidean distances to allocated group centroids,8.48734236894,0.0142857142857,24,1680,True,biological animal,False,exploratory assumption diagnostic,0.126769443242,0.0342214091568,0.0484435865182,0.0323808801359,0.0449807635238,0.00699891447819,"not applied; every allocated group has n=3, so the common sqrt(3/2) distance factor leaves F and p unchanged",0.0285714285714,two declared multivariate-dispersion diagnostics corresponding to the two spatial endpoints
