organ,feature,feature_display,outcome,effect_scale,contrast,effect,robust_se,ci95_low,ci95_high,hc3_p_value,freedman_lane_permutation_p_value,n_animals,n_water,n_sucrose,n_allulose,cohort_adjusted,q_value_global,q_value_within_organ
Liver,eosin_mean,Eosin,animal-level classical H&E computer-vision feature,within-organ standard deviations,Sucrose vs Water,0.4131755440709378,0.2814436995666757,-0.13844397075545778,0.9647950588973334,0.1420885949263532,0.13223,24,7,9,8,true,0.34001999999999993,0.22667999999999996
Liver,eosin_mean,Eosin,animal-level classical H&E computer-vision feature,within-organ standard deviations,Allulose vs Water,1.1240018447180025,0.5341753418603067,0.0770374132424303,2.1709662761935746,0.03536262213637085,0.03818,24,7,9,8,true,0.2352,0.17007
Spleen,classical_nuclei_density_mm2,Nuclear density,animal-level classical H&E computer-vision feature,within-organ standard deviations,Sucrose vs Water,0.3369871900297974,0.45251009712179574,-0.5499163029696442,1.2238906830292389,0.4564491964021842,0.42262,24,7,9,8,true,0.69156,0.7244914285714286
Spleen,classical_nuclei_density_mm2,Nuclear density,animal-level classical H&E computer-vision feature,within-organ standard deviations,Allulose vs Water,-0.31271468235604405,0.5487057738878195,-1.3881582372853487,0.7627288725732606,0.5687365481650923,0.53896,24,7,9,8,true,0.80844,0.73233
Spleen,classical_nucleus_area_median_um2,Nuclear area,animal-level classical H&E computer-vision feature,within-organ standard deviations,Sucrose vs Water,-0.6341149075804271,0.39947135470983114,-1.417064375667121,0.14883456050626687,0.11242543413916954,0.10548,24,7,9,8,true,0.34001999999999993,0.42192
Spleen,classical_nucleus_area_median_um2,Nuclear area,animal-level classical H&E computer-vision feature,within-organ standard deviations,Allulose vs Water,-0.2130190167151672,0.5148002596395502,-1.2220089848405546,0.7959709514102201,0.6790281681151451,0.65666,24,7,9,8,true,0.8504477419354839,0.73233
Spleen,classical_nucleus_eccentricity_median,Eccentricity,animal-level classical H&E computer-vision feature,within-organ standard deviations,Sucrose vs Water,0.1928425450749753,0.5963398821154334,-0.9759621464161357,1.3616472365660863,0.7464098183061851,0.73099,24,7,9,8,true,0.8504477419354839,0.73233
Spleen,classical_nucleus_eccentricity_median,Eccentricity,animal-level classical H&E computer-vision feature,within-organ standard deviations,Allulose vs Water,-0.20679241686301073,0.5610621598569376,-1.306454043270863,0.8928692095448415,0.7124459527070302,0.69303,24,7,9,8,true,0.8504477419354839,0.73233
Spleen,classical_nucleus_solidity_median,Solidity,animal-level classical H&E computer-vision feature,within-organ standard deviations,Sucrose vs Water,-0.5936719532687754,0.6020763966437791,-1.7737200066322347,0.586376100094684,0.3241130419490911,0.29713,24,7,9,8,true,0.534834,0.59426
Spleen,classical_nucleus_solidity_median,Solidity,animal-level classical H&E computer-vision feature,within-organ standard deviations,Allulose vs Water,0.1680629325723548,0.5344439153384767,-0.8794278932476332,1.2155537583923428,0.7531692779961989,0.73233,24,7,9,8,true,0.8504477419354839,0.73233
Spleen,hematoxylin_mean,Hematoxylin,animal-level classical H&E computer-vision feature,within-organ standard deviations,Sucrose vs Water,0.9127766814480348,0.42778575372578276,0.07433201104617937,1.7512213518498903,0.032865389494407087,0.03714,24,7,9,8,true,0.2352,0.22284
Spleen,hematoxylin_mean,Hematoxylin,animal-level classical H&E computer-vision feature,within-organ standard deviations,Allulose vs Water,0.6591013407677575,0.5736133158176105,-0.4651600992873588,1.7833627808228738,0.25054186193403394,0.23238,24,7,9,8,true,0.44029894736842107,0.557712
Spleen,eosin_mean,Eosin,animal-level classical H&E computer-vision feature,within-organ standard deviations,Sucrose vs Water,0.9228251794039273,0.4326499829645253,0.07484679488158985,1.7708035639262647,0.032927994049541706,0.03217,24,7,9,8,true,0.2352,0.22284
Spleen,eosin_mean,Eosin,animal-level classical H&E computer-vision feature,within-organ standard deviations,Allulose vs Water,0.6211994861631239,0.5122672503446367,-0.3828258749717276,1.6252248472979756,0.22526470536398857,0.21052,24,7,9,8,true,0.44029894736842107,0.557712
