organ,model_class_raw,phenotype_display,contrast,effect_clr,multiplicative_relative_abundance,q_value_global,treatment_displayed,sample_id,group_median_displayed_class_fraction,sample_displayed_class_fraction,tile_uid,tile_displayed_class_fraction,target_cell_count_in_tile,displayed_cell_count_in_tile,selection_rule,outline_definition,source_l0_path
Liver,Epithelial,Epithelial-like,Allulose vs Water,1.4011510734406034,4.059870487363215,0.02418,Water,m26-018,0.03636363636363636,0.03636363636363636,m26-018_liver_009,0.03414634146341464,7,205,animal closest to treatment median displayed-class fraction; positive tile closest to selected-animal displayed-class fraction,true HistoPLUS/LazySlide model-output nuclear polygon,/media/server/STORAGE/Apotome/Paper/FigS3/exports/m26-018/1_L0_rgb.tif
Liver,Epithelial,Epithelial-like,Allulose vs Water,1.4011510734406034,4.059870487363215,0.02418,Allulose,m26-012,0.525208798799806,0.5483084862385321,m26-012_liver_015,0.5598705501618123,173,309,animal closest to treatment median displayed-class fraction; positive tile closest to selected-animal displayed-class fraction,true HistoPLUS/LazySlide model-output nuclear polygon,/media/server/STORAGE/Apotome/Paper/FigS3/exports/m26-012/1_L0_rgb.tif
