sample_id,treatment,cohort,organ,model_class_raw,displayed_class_count,displayed_total_count,displayed_class_fraction,displayed_class_percent,log10_displayed_class_count_plus_1,phenotype_display
m26-002,Sucrose,NPY,Liver,Eosinophils,0,4291,0.0,0.0,0.0,Eosinophil-like
m26-002,Sucrose,NPY,Liver,Neutrophils,13,4291,0.0030295968305756233,0.3029596830575623,1.146128035678238,Neutrophil-like
m26-002,Sucrose,NPY,Liver,Macrophages,9,4291,0.0020974131903985084,0.20974131903985083,1.0,Macrophage-like
m26-002,Sucrose,NPY,Liver,Muscle Cell,0,4291,0.0,0.0,0.0,Muscle-like
m26-002,Sucrose,NPY,Liver,Endothelial Cell,0,4291,0.0,0.0,0.0,Endothelial-like
m26-002,Sucrose,NPY,Liver,Red blood cell,0,4291,0.0,0.0,0.0,RBC-like
m26-002,Sucrose,NPY,Liver,Epithelial,144,4291,0.033558611046376134,3.3558611046376132,2.161368002234975,Epithelial-like
m26-002,Sucrose,NPY,Liver,Apoptotic Body,4031,4291,0.9394080633884875,93.94080633884874,3.6055205234374688,Apoptotic-like
m26-002,Sucrose,NPY,Liver,Mitotic Figures,0,4291,0.0,0.0,0.0,Mitotic-like
m26-002,Sucrose,NPY,Liver,Minor Stromal Cell,0,4291,0.0,0.0,0.0,Minor stromal-like
m26-002,Sucrose,NPY,Kidney,Lymphocytes,13,10335,0.0012578616352201257,0.12578616352201258,1.146128035678238,Lymphocyte-like
m26-002,Sucrose,NPY,Kidney,Fibroblasts,212,10335,0.020512820512820513,2.051282051282051,2.3283796034387376,Fibroblast-like
m26-002,Sucrose,NPY,Kidney,Plasmocytes,0,10335,0.0,0.0,0.0,Plasmocyte-like
m26-002,Sucrose,NPY,Kidney,Eosinophils,0,10335,0.0,0.0,0.0,Eosinophil-like
m26-002,Sucrose,NPY,Kidney,Neutrophils,8,10335,0.0007740686985970005,0.07740686985970005,0.9542425094393249,Neutrophil-like
m26-002,Sucrose,NPY,Kidney,Macrophages,886,10335,0.0857281083696178,8.57281083696178,2.9479236198317262,Macrophage-like
m26-002,Sucrose,NPY,Kidney,Muscle Cell,20,10335,0.0019351717464925011,0.1935171746492501,1.3222192947339193,Muscle-like
m26-002,Sucrose,NPY,Kidney,Endothelial Cell,0,10335,0.0,0.0,0.0,Endothelial-like
m26-002,Sucrose,NPY,Kidney,Red blood cell,0,10335,0.0,0.0,0.0,RBC-like
m26-002,Sucrose,NPY,Kidney,Epithelial,7766,10335,0.7514271891630382,75.14271891630382,3.8902533051545345,Epithelial-like
m26-002,Sucrose,NPY,Kidney,Apoptotic Body,1430,10335,0.13836477987421383,13.836477987421384,3.1556396337597765,Apoptotic-like
m26-002,Sucrose,NPY,Kidney,Mitotic Figures,0,10335,0.0,0.0,0.0,Mitotic-like
m26-002,Sucrose,NPY,Kidney,Minor Stromal Cell,0,10335,0.0,0.0,0.0,Minor stromal-like
m26-002,Sucrose,NPY,Spleen,Lymphocytes,1059,21567,0.04910279593823898,4.910279593823898,3.0253058652647704,Lymphocyte-like
m26-002,Sucrose,NPY,Spleen,Fibroblasts,14539,21567,0.6741317753975982,67.41317753975981,4.162564406523019,Fibroblast-like
m26-002,Sucrose,NPY,Spleen,Plasmocytes,53,21567,0.0024574581536606853,0.24574581536606854,1.7323937598229686,Plasmocyte-like
m26-002,Sucrose,NPY,Spleen,Eosinophils,0,21567,0.0,0.0,0.0,Eosinophil-like
m26-002,Sucrose,NPY,Spleen,Neutrophils,123,21567,0.005703157601891779,0.5703157601891778,2.093421685162235,Neutrophil-like
