sample_id,treatment,cohort,organ,model_class_raw,clr_value,analysis_eligible,detected_animals,total_class_count,eligibility_rule,pseudocount_applied,phenotype_display,pseudocount
m26-010,Allulose,POMC,Kidney,Fibroblasts,0.8307792110316687,True,24,23255,detected_animals>=18 and total_class_count>=24 within organ,True,Fibroblast-like,0.5
m26-011,Allulose,POMC,Kidney,Fibroblasts,1.944810547562399,True,24,23255,detected_animals>=18 and total_class_count>=24 within organ,True,Fibroblast-like,0.5
m26-012,Allulose,NPY,Kidney,Fibroblasts,1.349643334091859,True,24,23255,detected_animals>=18 and total_class_count>=24 within organ,True,Fibroblast-like,0.5
m26-013,Allulose,POMC,Kidney,Fibroblasts,0.8647508283770384,True,24,23255,detected_animals>=18 and total_class_count>=24 within organ,True,Fibroblast-like,0.5
m26-014,Allulose,NPY,Kidney,Fibroblasts,1.9972558860868,True,24,23255,detected_animals>=18 and total_class_count>=24 within organ,True,Fibroblast-like,0.5
m26-015,Water,POMC,Kidney,Fibroblasts,1.8614837514194824,True,24,23255,detected_animals>=18 and total_class_count>=24 within organ,True,Fibroblast-like,0.5
m26-016,Water,POMC,Kidney,Fibroblasts,1.9005673354198525,True,24,23255,detected_animals>=18 and total_class_count>=24 within organ,True,Fibroblast-like,0.5
m26-017,Water,POMC,Kidney,Fibroblasts,0.9921229647437966,True,24,23255,detected_animals>=18 and total_class_count>=24 within organ,True,Fibroblast-like,0.5
m26-018,Water,POMC,Kidney,Fibroblasts,2.7098828167634124,True,24,23255,detected_animals>=18 and total_class_count>=24 within organ,True,Fibroblast-like,0.5
m26-019,Water,NPY,Kidney,Fibroblasts,1.1527118819624098,True,24,23255,detected_animals>=18 and total_class_count>=24 within organ,True,Fibroblast-like,0.5
m26-020,Water,NPY,Kidney,Fibroblasts,1.960235636778735,True,24,23255,detected_animals>=18 and total_class_count>=24 within organ,True,Fibroblast-like,0.5
m26-021,Water,NPY,Kidney,Fibroblasts,1.795029663199623,True,24,23255,detected_animals>=18 and total_class_count>=24 within organ,True,Fibroblast-like,0.5
m26-022,Allulose,POMC,Kidney,Fibroblasts,1.5838489223724213,True,24,23255,detected_animals>=18 and total_class_count>=24 within organ,True,Fibroblast-like,0.5
m26-023,Sucrose,POMC,Kidney,Fibroblasts,1.5290896081378849,True,24,23255,detected_animals>=18 and total_class_count>=24 within organ,True,Fibroblast-like,0.5
m26-024,Sucrose,POMC,Kidney,Fibroblasts,1.5238367907586121,True,24,23255,detected_animals>=18 and total_class_count>=24 within organ,True,Fibroblast-like,0.5
m26-001,Sucrose,NPY,Kidney,Plasmocytes,,False,6,9,detected_animals>=18 and total_class_count>=24 within organ,False,Plasmocyte-like,0.5
m26-002,Sucrose,NPY,Kidney,Plasmocytes,,False,6,9,detected_animals>=18 and total_class_count>=24 within organ,False,Plasmocyte-like,0.5
m26-003,Sucrose,POMC,Kidney,Plasmocytes,,False,6,9,detected_animals>=18 and total_class_count>=24 within organ,False,Plasmocyte-like,0.5
m26-004,Sucrose,NPY,Kidney,Plasmocytes,,False,6,9,detected_animals>=18 and total_class_count>=24 within organ,False,Plasmocyte-like,0.5
m26-005,Sucrose,POMC,Kidney,Plasmocytes,,False,6,9,detected_animals>=18 and total_class_count>=24 within organ,False,Plasmocyte-like,0.5
m26-006,Sucrose,POMC,Kidney,Plasmocytes,,False,6,9,detected_animals>=18 and total_class_count>=24 within organ,False,Plasmocyte-like,0.5
m26-007,Sucrose,POMC,Kidney,Plasmocytes,,False,6,9,detected_animals>=18 and total_class_count>=24 within organ,False,Plasmocyte-like,0.5
m26-008,Allulose,POMC,Kidney,Plasmocytes,,False,6,9,detected_animals>=18 and total_class_count>=24 within organ,False,Plasmocyte-like,0.5
m26-009,Allulose,POMC,Kidney,Plasmocytes,,False,6,9,detected_animals>=18 and total_class_count>=24 within organ,False,Plasmocyte-like,0.5
m26-010,Allulose,POMC,Kidney,Plasmocytes,,False,6,9,detected_animals>=18 and total_class_count>=24 within organ,False,Plasmocyte-like,0.5
m26-011,Allulose,POMC,Kidney,Plasmocytes,,False,6,9,detected_animals>=18 and total_class_count>=24 within organ,False,Plasmocyte-like,0.5
m26-012,Allulose,NPY,Kidney,Plasmocytes,,False,6,9,detected_animals>=18 and total_class_count>=24 within organ,False,Plasmocyte-like,0.5
m26-013,Allulose,POMC,Kidney,Plasmocytes,,False,6,9,detected_animals>=18 and total_class_count>=24 within organ,False,Plasmocyte-like,0.5
m26-014,Allulose,NPY,Kidney,Plasmocytes,,False,6,9,detected_animals>=18 and total_class_count>=24 within organ,False,Plasmocyte-like,0.5
m26-015,Water,POMC,Kidney,Plasmocytes,,False,6,9,detected_animals>=18 and total_class_count>=24 within organ,False,Plasmocyte-like,0.5
m26-016,Water,POMC,Kidney,Plasmocytes,,False,6,9,detected_animals>=18 and total_class_count>=24 within organ,False,Plasmocyte-like,0.5
m26-017,Water,POMC,Kidney,Plasmocytes,,False,6,9,detected_animals>=18 and total_class_count>=24 within organ,False,Plasmocyte-like,0.5
m26-018,Water,POMC,Kidney,Plasmocytes,,False,6,9,detected_animals>=18 and total_class_count>=24 within organ,False,Plasmocyte-like,0.5
m26-019,Water,NPY,Kidney,Plasmocytes,,False,6,9,detected_animals>=18 and total_class_count>=24 within organ,False,Plasmocyte-like,0.5
m26-020,Water,NPY,Kidney,Plasmocytes,,False,6,9,detected_animals>=18 and total_class_count>=24 within organ,False,Plasmocyte-like,0.5
m26-021,Water,NPY,Kidney,Plasmocytes,,False,6,9,detected_animals>=18 and total_class_count>=24 within organ,False,Plasmocyte-like,0.5
m26-022,Allulose,POMC,Kidney,Plasmocytes,,False,6,9,detected_animals>=18 and total_class_count>=24 within organ,False,Plasmocyte-like,0.5
m26-023,Sucrose,POMC,Kidney,Plasmocytes,,False,6,9,detected_animals>=18 and total_class_count>=24 within organ,False,Plasmocyte-like,0.5
m26-024,Sucrose,POMC,Kidney,Plasmocytes,,False,6,9,detected_animals>=18 and total_class_count>=24 within organ,False,Plasmocyte-like,0.5
m26-001,Sucrose,NPY,Kidney,Eosinophils,,False,0,0,detected_animals>=18 and total_class_count>=24 within organ,False,Eosinophil-like,0.5
m26-002,Sucrose,NPY,Kidney,Eosinophils,,False,0,0,detected_animals>=18 and total_class_count>=24 within organ,False,Eosinophil-like,0.5
m26-003,Sucrose,POMC,Kidney,Eosinophils,,False,0,0,detected_animals>=18 and total_class_count>=24 within organ,False,Eosinophil-like,0.5
m26-004,Sucrose,NPY,Kidney,Eosinophils,,False,0,0,detected_animals>=18 and total_class_count>=24 within organ,False,Eosinophil-like,0.5
m26-005,Sucrose,POMC,Kidney,Eosinophils,,False,0,0,detected_animals>=18 and total_class_count>=24 within organ,False,Eosinophil-like,0.5
m26-006,Sucrose,POMC,Kidney,Eosinophils,,False,0,0,detected_animals>=18 and total_class_count>=24 within organ,False,Eosinophil-like,0.5
m26-007,Sucrose,POMC,Kidney,Eosinophils,,False,0,0,detected_animals>=18 and total_class_count>=24 within organ,False,Eosinophil-like,0.5
m26-008,Allulose,POMC,Kidney,Eosinophils,,False,0,0,detected_animals>=18 and total_class_count>=24 within organ,False,Eosinophil-like,0.5
m26-009,Allulose,POMC,Kidney,Eosinophils,,False,0,0,detected_animals>=18 and total_class_count>=24 within organ,False,Eosinophil-like,0.5
m26-010,Allulose,POMC,Kidney,Eosinophils,,False,0,0,detected_animals>=18 and total_class_count>=24 within organ,False,Eosinophil-like,0.5
m26-011,Allulose,POMC,Kidney,Eosinophils,,False,0,0,detected_animals>=18 and total_class_count>=24 within organ,False,Eosinophil-like,0.5
m26-012,Allulose,NPY,Kidney,Eosinophils,,False,0,0,detected_animals>=18 and total_class_count>=24 within organ,False,Eosinophil-like,0.5
m26-013,Allulose,POMC,Kidney,Eosinophils,,False,0,0,detected_animals>=18 and total_class_count>=24 within organ,False,Eosinophil-like,0.5
m26-014,Allulose,NPY,Kidney,Eosinophils,,False,0,0,detected_animals>=18 and total_class_count>=24 within organ,False,Eosinophil-like,0.5
m26-015,Water,POMC,Kidney,Eosinophils,,False,0,0,detected_animals>=18 and total_class_count>=24 within organ,False,Eosinophil-like,0.5
m26-016,Water,POMC,Kidney,Eosinophils,,False,0,0,detected_animals>=18 and total_class_count>=24 within organ,False,Eosinophil-like,0.5
m26-017,Water,POMC,Kidney,Eosinophils,,False,0,0,detected_animals>=18 and total_class_count>=24 within organ,False,Eosinophil-like,0.5
m26-018,Water,POMC,Kidney,Eosinophils,,False,0,0,detected_animals>=18 and total_class_count>=24 within organ,False,Eosinophil-like,0.5
m26-019,Water,NPY,Kidney,Eosinophils,,False,0,0,detected_animals>=18 and total_class_count>=24 within organ,False,Eosinophil-like,0.5
m26-020,Water,NPY,Kidney,Eosinophils,,False,0,0,detected_animals>=18 and total_class_count>=24 within organ,False,Eosinophil-like,0.5
m26-021,Water,NPY,Kidney,Eosinophils,,False,0,0,detected_animals>=18 and total_class_count>=24 within organ,False,Eosinophil-like,0.5
m26-022,Allulose,POMC,Kidney,Eosinophils,,False,0,0,detected_animals>=18 and total_class_count>=24 within organ,False,Eosinophil-like,0.5
m26-023,Sucrose,POMC,Kidney,Eosinophils,,False,0,0,detected_animals>=18 and total_class_count>=24 within organ,False,Eosinophil-like,0.5
m26-024,Sucrose,POMC,Kidney,Eosinophils,,False,0,0,detected_animals>=18 and total_class_count>=24 within organ,False,Eosinophil-like,0.5
m26-001,Sucrose,NPY,Kidney,Neutrophils,-3.877073079434114,True,24,147,detected_animals>=18 and total_class_count>=24 within organ,True,Neutrophil-like,0.5
m26-002,Sucrose,NPY,Kidney,Neutrophils,-3.0217564154868537,True,24,147,detected_animals>=18 and total_class_count>=24 within organ,True,Neutrophil-like,0.5
m26-003,Sucrose,POMC,Kidney,Neutrophils,-4.2248422918082005,True,24,147,detected_animals>=18 and total_class_count>=24 within organ,True,Neutrophil-like,0.5
m26-004,Sucrose,NPY,Kidney,Neutrophils,-3.018818790844718,True,24,147,detected_animals>=18 and total_class_count>=24 within organ,True,Neutrophil-like,0.5
m26-005,Sucrose,POMC,Kidney,Neutrophils,-3.6538784809971103,True,24,147,detected_animals>=18 and total_class_count>=24 within organ,True,Neutrophil-like,0.5
m26-006,Sucrose,POMC,Kidney,Neutrophils,-4.958166541843223,True,24,147,detected_animals>=18 and total_class_count>=24 within organ,True,Neutrophil-like,0.5
m26-007,Sucrose,POMC,Kidney,Neutrophils,-4.024673809266092,True,24,147,detected_animals>=18 and total_class_count>=24 within organ,True,Neutrophil-like,0.5
m26-008,Allulose,POMC,Kidney,Neutrophils,-4.427782593394218,True,24,147,detected_animals>=18 and total_class_count>=24 within organ,True,Neutrophil-like,0.5
m26-009,Allulose,POMC,Kidney,Neutrophils,-2.063290077880771,True,24,147,detected_animals>=18 and total_class_count>=24 within organ,True,Neutrophil-like,0.5
m26-010,Allulose,POMC,Kidney,Neutrophils,-2.314603837026728,True,24,147,detected_animals>=18 and total_class_count>=24 within organ,True,Neutrophil-like,0.5
m26-011,Allulose,POMC,Kidney,Neutrophils,-4.771380593258851,True,24,147,detected_animals>=18 and total_class_count>=24 within organ,True,Neutrophil-like,0.5
m26-012,Allulose,NPY,Kidney,Neutrophils,-4.622468484500308,True,24,147,detected_animals>=18 and total_class_count>=24 within organ,True,Neutrophil-like,0.5
m26-013,Allulose,POMC,Kidney,Neutrophils,-4.006074903162616,True,24,147,detected_animals>=18 and total_class_count>=24 within organ,True,Neutrophil-like,0.5
m26-014,Allulose,NPY,Kidney,Neutrophils,-4.429556143611215,True,24,147,detected_animals>=18 and total_class_count>=24 within organ,True,Neutrophil-like,0.5
m26-015,Water,POMC,Kidney,Neutrophils,-3.8503613706600692,True,24,147,detected_animals>=18 and total_class_count>=24 within organ,True,Neutrophil-like,0.5
m26-016,Water,POMC,Kidney,Neutrophils,-4.442609863797047,True,24,147,detected_animals>=18 and total_class_count>=24 within organ,True,Neutrophil-like,0.5
m26-017,Water,POMC,Kidney,Neutrophils,-4.147868350566501,True,24,147,detected_animals>=18 and total_class_count>=24 within organ,True,Neutrophil-like,0.5
m26-018,Water,POMC,Kidney,Neutrophils,-3.768626825445156,True,24,147,detected_animals>=18 and total_class_count>=24 within organ,True,Neutrophil-like,0.5
m26-019,Water,NPY,Kidney,Neutrophils,-2.7931326719412466,True,24,147,detected_animals>=18 and total_class_count>=24 within organ,True,Neutrophil-like,0.5
m26-020,Water,NPY,Kidney,Neutrophils,-4.373754218663538,True,24,147,detected_animals>=18 and total_class_count>=24 within organ,True,Neutrophil-like,0.5
