panel,value_role,experimental_unit,unit_id,E,subject_id,Treatment,Sex,study_day,value_name,plotted_value
C,mouse_trajectory_descriptive,mouse_descriptive_only,E8|FR6-3,E8,E8|FR6-3,Allulose,Female,6,body_weight_change_pct,-1.6288252714708875
C,mouse_trajectory_descriptive,mouse_descriptive_only,E8|FR6-4,E8,E8|FR6-4,Allulose,Female,6,body_weight_change_pct,2.643856920684301
C,mouse_trajectory_descriptive,mouse_descriptive_only,E10|FR1-1,E10,E10|FR1-1,Water,Female,1,body_weight_change_pct,0.0
C,mouse_trajectory_descriptive,mouse_descriptive_only,E10|FR6-2,E10,E10|FR6-2,Water,Female,1,body_weight_change_pct,0.0
C,mouse_trajectory_descriptive,mouse_descriptive_only,E10|FR7-2,E10,E10|FR7-2,Water,Female,1,body_weight_change_pct,0.0
C,mouse_trajectory_descriptive,mouse_descriptive_only,E10|FR1-1,E10,E10|FR1-1,Water,Female,3,body_weight_change_pct,4.522357723577239
C,mouse_trajectory_descriptive,mouse_descriptive_only,E10|FR6-2,E10,E10|FR6-2,Water,Female,3,body_weight_change_pct,2.656336469286112
C,mouse_trajectory_descriptive,mouse_descriptive_only,E10|FR7-2,E10,E10|FR7-2,Water,Female,3,body_weight_change_pct,-0.3352490421455952
C,mouse_trajectory_descriptive,mouse_descriptive_only,E10|FR1-1,E10,E10|FR1-1,Water,Female,6,body_weight_change_pct,2.7947154471544757
C,mouse_trajectory_descriptive,mouse_descriptive_only,E10|FR6-2,E10,E10|FR6-2,Water,Female,6,body_weight_change_pct,4.150525733259546
C,mouse_trajectory_descriptive,mouse_descriptive_only,E10|FR7-2,E10,E10|FR7-2,Water,Female,6,body_weight_change_pct,-0.6226053639846696
C,cage_day_trajectory,cage,E1,E1,,Sucrose,Female,1,cage_mean_body_weight_change_pct,0.0
C,cage_day_trajectory,cage,E1,E1,,Sucrose,Female,3,cage_mean_body_weight_change_pct,3.2316071205797785
C,cage_day_trajectory,cage,E1,E1,,Sucrose,Female,6,cage_mean_body_weight_change_pct,4.4531048894351954
C,cage_day_trajectory,cage,E2,E2,,Allulose,Female,1,cage_mean_body_weight_change_pct,0.0
C,cage_day_trajectory,cage,E2,E2,,Allulose,Female,3,cage_mean_body_weight_change_pct,-3.3585680211300235
C,cage_day_trajectory,cage,E2,E2,,Allulose,Female,6,cage_mean_body_weight_change_pct,-3.10597825197576
C,cage_day_trajectory,cage,E7,E7,,Sucrose,Female,1,cage_mean_body_weight_change_pct,0.0
C,cage_day_trajectory,cage,E7,E7,,Sucrose,Female,3,cage_mean_body_weight_change_pct,1.867499396156094
C,cage_day_trajectory,cage,E7,E7,,Sucrose,Female,6,cage_mean_body_weight_change_pct,1.893999516924874
C,cage_day_trajectory,cage,E8,E8,,Allulose,Female,1,cage_mean_body_weight_change_pct,0.0
C,cage_day_trajectory,cage,E8,E8,,Allulose,Female,3,cage_mean_body_weight_change_pct,-6.312305485643314
C,cage_day_trajectory,cage,E8,E8,,Allulose,Female,6,cage_mean_body_weight_change_pct,0.4040901026635097
C,cage_day_trajectory,cage,E10,E10,,Water,Female,1,cage_mean_body_weight_change_pct,0.0
C,cage_day_trajectory,cage,E10,E10,,Water,Female,3,cage_mean_body_weight_change_pct,2.281148383572585
C,cage_day_trajectory,cage,E10,E10,,Water,Female,6,cage_mean_body_weight_change_pct,2.1075452721431174
D,cage_endpoint,cage,E1,E1,,Sucrose,Female,6,cage_mean_body_weight_change_pct,4.4531048894351954
D,cage_endpoint,cage,E2,E2,,Allulose,Female,6,cage_mean_body_weight_change_pct,-3.10597825197576
D,cage_endpoint,cage,E7,E7,,Sucrose,Female,6,cage_mean_body_weight_change_pct,1.893999516924874
D,cage_endpoint,cage,E8,E8,,Allulose,Female,6,cage_mean_body_weight_change_pct,0.4040901026635097
D,cage_endpoint,cage,E10,E10,,Water,Female,6,cage_mean_body_weight_change_pct,2.1075452721431174
