method,balanced_accuracy,accuracy,ci_low,ci_high,correct_n,cells_n,animals_n
morphometric_proposals,0.7389304577464789,0.7438423645320197,0.6736398452259107,0.810588202900338,151,203,15
dino_logistic,0.5703697183098592,0.6059113300492611,0.49310232176634883,0.651923540409555,123,203,15
