morphometric_proposals,dino_logistic
0.7672101259028483,0.5972535326308912
0.7507350804314751,0.5193220378822846
0.7193283619754208,0.5378465124788654
0.708928352725046,0.6213280771586037
0.6833190547583352,0.46055989862211755
0.7175453514739228,0.5583545918367347
0.7371426401501588,0.6361124673154749
0.6969838378810504,0.6695586715839328
0.7661957341465014,0.5848523878614992
0.7180670140396583,0.6130925996285039
0.7909536541889484,0.5661764705882353
0.7958868234462396,0.6767871623729025
0.7528704068695866,0.562768449761887
0.7107458982458982,0.5331455867170153
0.729582161490177,0.5473666646286786
0.6868322649572649,0.5472184065934066
0.7189364288679356,0.5379265996560517
0.7674988600091198,0.5436901504787962
0.7313636363636364,0.6358823529411765
0.7579999449702839,0.4800077041602465
0.749250116713352,0.5898196778711484
0.8187043072478797,0.6279194289100404
0.7547265447265447,0.5344635544635544
0.714657598499062,0.5581535334584116
0.7391238456379302,0.61547731904246
0.8409090909090908,0.6333333333333333
0.7480099197244172,0.5248735520894792
0.7573599068915042,0.5527433485912367
0.7546212121212121,0.5551244588744588
0.7002992446882589,0.5327856879373026
0.7642039442039442,0.5504232804232805
0.7378489068583408,0.5225681341719077
0.7451655253454353,0.5730171400786094
0.7720352564102564,0.5494614913273002
0.6959770114942528,0.4866898762157383
0.7753027065527066,0.6362090455840456
0.7124104156712852,0.6262763633881646
0.7548663572343149,0.6451944622279129
0.8252349532188241,0.6457642089093703
0.711206681794917,0.5474229885994591
0.7231047862986467,0.4849097790350944
0.7444676123824482,0.5333464719565779
0.78634806735553,0.6178183383780399
0.7067376049518906,0.5802606177606178
0.8001398108191726,0.6189549416196354
0.725314979670798,0.6239425536100728
0.7805579836829837,0.6104858682983683
0.7696911196911197,0.535511583011583
0.7536880927291886,0.5090885142255005
0.7526993598422169,0.6043228409299838
0.7576806363571069,0.6181453350570998
0.7158208762495063,0.5977710175310668
0.7452512254901961,0.5749080882352942
0.727987202670747,0.49962492299743655
0.7882410461444986,0.6398316879957034
0.7168680336935251,0.5989406959925125
0.6810238868274583,0.4718711348175634
0.7650852685050799,0.5692058236574746
0.7359613696224758,0.5622488398344413
0.7959435306133419,0.5323385341074021
0.7624341027086251,0.5636012334931239
0.7546382947118241,0.5865678847296494
0.6901750283446711,0.5989760487528344
0.7264646199388847,0.5216497962821491
0.7887892336421749,0.5517758385405445
0.738754956741168,0.5556844808940158
0.7571352707222272,0.6612172896140287
0.779378285405071,0.5315988327149042
0.7351390828029374,0.5819521736945488
0.7181462585034013,0.5590391156462584
0.729799917064068,0.6186208445642407
0.7743835616438356,0.5634474885844749
0.7444261903238131,0.6319050514218336
0.7328733897706973,0.533231106714911
