endpoint,endpoint_label,test,comparison,n_animals,n_water,n_sucrose,n_allulose,feature_count,feature_transform,distance,pseudo_f,r_squared,p_value_exact,extreme_labelings,enumerated_labelings,permutation_exhaustive,experimental_unit,cells_as_independent_replicates,analysis_tier,ventricle_exclusion,bh_q_value_two_endpoint_family,multiple_testing_family
cfos,c-FOS-positive nuclei / DAPI nuclei,exact animal-label PERMANOVA,Water|Sucrose|Allulose,8,2,3,3,6,arcsin(sqrt(shell positive nuclei / shell DAPI nuclei)),Euclidean on six-shell animal vectors,2.034344178014197,0.4486523515083348,0.11428571428571428,64,560,True,biological animal,False,exploratory,accepted per-acquisition DAPI-only HIL 3V mask applied before shell construction and endpoint calculation,0.22857142857142856,two declared S5 ARC/ME spatial profiles: c-FOS/DAPI and c-FOS+ACTH/CLIP/DAPI
double,c-FOS and ACTH/CLIP double-positive nuclei / DAPI nuclei,exact animal-label PERMANOVA,Water|Sucrose|Allulose,8,2,3,3,6,arcsin(sqrt(shell positive nuclei / shell DAPI nuclei)),Euclidean on six-shell animal vectors,1.1003191466035036,0.30561711387212187,0.4,224,560,True,biological animal,False,exploratory,accepted per-acquisition DAPI-only HIL 3V mask applied before shell construction and endpoint calculation,0.4,two declared S5 ARC/ME spatial profiles: c-FOS/DAPI and c-FOS+ACTH/CLIP/DAPI
