animal_id,sample_id,condition,channel,segmentation_path,segmentation_sha256,segmentation_size_bytes,tiff_path,tiff_sha256,tiff_size_bytes,within_animal_shape_match,segmentation_available,numeric_analysis_eligible,failure_reason,mask_shape_y,mask_shape_x,mask_dtype,object_count,max_label,labels_contiguous,manual_label_count,manual_flag_count,manual_change_record_count,model_path,flow_threshold,cellprob_threshold,diameter,cellpose_source_filename,payload_keys,tiff_shape,tiff_dtype
E8_FR6-4,e8-fr6-4-alulosa,Allulose,NeuN,/tmp/fig3_human_accepted_raw_project_20260823_v1/Paper/Fig3/raw/legacy_experiment_2025_07_28/E8-FR6-4_ALULOSA_NeuN_seg.npy,6ba7313967c39523cc8a169b7da77cc16255cc4e05ab8ebd69666f17e3dbf4a5,26161666,/tmp/fig3_human_accepted_raw_project_20260823_v1/Paper/Fig3/raw/legacy_experiment_2025_07_28/E8-FR6-4_ALULOSA_NeuN.tif,2d5dda1d57a870f88c88a7afc91fbd719c17ba342cf4904600a7c96783f2109d,3922346,True,True,True,,946,1382,uint16,878,878,True,3,878,3,/home/server/.cellpose/models/cfos_channel3,0.4,0.0,,/media/server/STORAGE/Apotome/2025.07.28_NPY/E8-FR6-4_ALULOSA_NeuN.tif,cellprob_threshold;colors;diameter;filename;flow_threshold;flows;ismanual;manual_changes;masks;model_path;normalize_params;outlines;ratio;restore,946x1382x3,uint8
E8_FR6-4,e8-fr6-4-alulosa,Allulose,c-FOS,/tmp/fig3_human_accepted_raw_project_20260823_v1/Paper/Fig3/raw/legacy_experiment_2025_07_28/E8-FR6-4_ALULOSA_fos_seg.npy,b0df57d75a7307980a81cb34d280044e3cf6ea7b54fe82b12899838577a51dca,26157113,/tmp/fig3_human_accepted_raw_project_20260823_v1/Paper/Fig3/raw/legacy_experiment_2025_07_28/E8-FR6-4_ALULOSA_fos.tif,a545e444fa819068b6ff0b1ab7d7488df543cc15f3f172126e03620a048de3c7,3922346,True,True,True,,946,1382,uint16,328,328,True,3,328,3,/home/server/.cellpose/models/cfos_channel3,0.4,0.0,,/media/server/STORAGE/Apotome/2025.07.28_NPY/E8-FR6-4_ALULOSA_fos.tif,cellprob_threshold;colors;diameter;filename;flow_threshold;flows;ismanual;manual_changes;masks;model_path;normalize_params;outlines;ratio;restore,946x1382x3,uint8
E7_FR7-1,e7-fr7-1,Sucrose,DAPI,/tmp/fig3_human_accepted_raw_project_20260823_v1/Paper/Fig3/raw/legacy_experiment_2025_07_28/E7-FR7-1_dapi_seg.npy,bc6c2a8c53bd4319439b9759d49fef135f20c0045d0389b8141ccbf5d21520da,26167864,/tmp/fig3_human_accepted_raw_project_20260823_v1/Paper/Fig3/raw/legacy_experiment_2025_07_28/E7-FR7-1_dapi.tif,a931f7fa6d3f5e45ac61f3971d884c7b92f8fa47e37ecbedb070cc922e84c55e,3922346,True,True,True,,946,1382,uint16,3061,3061,True,3,3061,5,/home/server/.cellpose/models/dapi_channel,0.4,0.0,,/media/server/STORAGE/Apotome/2025.07.28_NPY/E7-FR7-1_dapi.tif,cellprob_threshold;colors;diameter;filename;flow_threshold;flows;ismanual;manual_changes;masks;model_path;normalize_params;outlines;ratio;restore,946x1382x3,uint8
E7_FR7-1,e7-fr7-1,Sucrose,NPY,/tmp/fig3_human_accepted_raw_project_20260823_v1/Paper/Fig3/raw/legacy_experiment_2025_07_28/E7-FR7-1_gfp_seg.npy,468c07903e05f97d81ba7d0108a70ae83d5e0da96f5806cbcc2d414b7b33241e,26523886,/tmp/fig3_human_accepted_raw_project_20260823_v1/Paper/Fig3/raw/legacy_experiment_2025_07_28/E7-FR7-1_gfp.tif,15fa0d96d6a993cb9bfb23fa8f1095cb6dc98ce3b42a17240fe3b9c9a0a72b1c,3922346,True,True,True,,946,1382,uint16,211,211,True,39,211,106,/home/server/.cellpose/models/cfos_channel3,0.4,0.0,,/media/server/STORAGE/Apotome/2025.07.28_NPY/E7-FR7-1_gfp.tif,cellprob_threshold;colors;diameter;filename;flow_threshold;flows;ismanual;manual_changes;masks;model_path;normalize_params;outlines;ratio;restore,946x1382x3,uint8
E7_FR7-1,e7-fr7-1,Sucrose,NeuN,/tmp/fig3_human_accepted_raw_project_20260823_v1/Paper/Fig3/raw/legacy_experiment_2025_07_28/E7-FR7-1_NeuN_seg.npy,b740a090eb5185577d220f5fa225bdf33451c765109c4da1886571edcd54a2f9,26155275,/tmp/fig3_human_accepted_raw_project_20260823_v1/Paper/Fig3/raw/legacy_experiment_2025_07_28/E7-FR7-1_NeuN.tif,81bf24e723d1587b808fc7ed99388c52ad497f1af157b71aac99885301aa6090,3922346,True,True,True,,946,1382,uint16,868,868,True,1,868,1,/home/server/.cellpose/models/cfos_channel3,0.4,0.0,,/media/server/STORAGE/Apotome/2025.07.28_NPY/E7-FR7-1_NeuN.tif,cellprob_threshold;colors;diameter;filename;flow_threshold;flows;ismanual;manual_changes;masks;model_path;normalize_params;outlines;ratio;restore,946x1382x3,uint8
E7_FR7-1,e7-fr7-1,Sucrose,c-FOS,/tmp/fig3_human_accepted_raw_project_20260823_v1/Paper/Fig3/raw/legacy_experiment_2025_07_28/E7-FR7-1_fos_seg.npy,0b6b86969686532f42ad513f7a92ca6096c23b6d085074f1ef2861115133f359,26181189,/tmp/fig3_human_accepted_raw_project_20260823_v1/Paper/Fig3/raw/legacy_experiment_2025_07_28/E7-FR7-1_fos.tif,194d8db8be1a7443a5fe9c88bd0884ee3f395ee73d7a1556ba0c8e70b0e26eac,3922346,True,True,True,,946,1382,uint16,55,55,True,19,55,19,/home/server/.cellpose/models/cfos_channel3,0.4,0.0,,/media/server/STORAGE/Apotome/2025.07.28_NPY/E7-FR7-1_fos.tif,cellprob_threshold;colors;diameter;filename;flow_threshold;flows;ismanual;manual_changes;masks;model_path;normalize_params;outlines;ratio;restore,946x1382x3,uint8
E7_FR7-5,e7-fr7-5,Sucrose,DAPI,/tmp/fig3_human_accepted_raw_project_20260823_v1/Paper/Fig3/raw/legacy_experiment_2025_07_28/E7-FR7-5_dapi_seg.npy,5ee8adeaf5abb5ba3fd1637abbc73f5bc3634118f8fa184cbc49bea0b4abbe41,38216846,/tmp/fig3_human_accepted_raw_project_20260823_v1/Paper/Fig3/raw/legacy_experiment_2025_07_28/E7-FR7-5_dapi.tif,b0d6935331a4309b9fa2b8247b977f86b7be82f2ec4edbcff24f3e59fb751bfc,5730002,True,True,True,,1382,1382,uint16,3241,3241,True,1,3241,1,/home/server/.cellpose/models/dapi_channel,0.4,0.0,,/media/server/STORAGE/Apotome/2025.07.28_NPY/E7-FR7-5_dapi.tif,cellprob_threshold;colors;diameter;filename;flow_threshold;flows;ismanual;manual_changes;masks;model_path;normalize_params;outlines;ratio;restore,1382x1382x3,uint8
E7_FR7-5,e7-fr7-5,Sucrose,NPY,/tmp/fig3_human_accepted_raw_project_20260823_v1/Paper/Fig3/raw/legacy_experiment_2025_07_28/E7-FR7-5_gfp_seg.npy,2a8ff8dc72a099dd99e6c3c0a69f20d0405ce83c15603e1c31a712b8166bb9f9,38691073,/tmp/fig3_human_accepted_raw_project_20260823_v1/Paper/Fig3/raw/legacy_experiment_2025_07_28/E7-FR7-5_gfp.tif,2a05c21b0c9ce32739ce2ee83a073b0836aee8b7daa39e04f7414753c24afda5,5730002,True,True,True,,1382,1382,uint16,186,186,True,10,186,144,/home/server/.cellpose/models/dapi_channel,0.4,0.0,,/media/server/STORAGE/Apotome/2025.07.28_NPY/E7-FR7-5_gfp.tif,cellprob_threshold;colors;diameter;filename;flow_threshold;flows;ismanual;manual_changes;masks;model_path;normalize_params;outlines;ratio;restore,1382x1382x3,uint8
E7_FR7-5,e7-fr7-5,Sucrose,NeuN,/tmp/fig3_human_accepted_raw_project_20260823_v1/Paper/Fig3/raw/legacy_experiment_2025_07_28/E7-FR7-5_NeuN_seg.npy,362becdd2a9ff591b4d8ebd5e70ef2cc316932f830c07037c794a2b7481740d7,38219242,/tmp/fig3_human_accepted_raw_project_20260823_v1/Paper/Fig3/raw/legacy_experiment_2025_07_28/E7-FR7-5_NeuN.tif,0cb24c1c00891f35da03618487b13f01baffd817a9aa6f44ef6afd5ab6bcded9,5730002,True,True,True,,1382,1382,uint16,1249,1249,True,3,1249,3,/home/server/.cellpose/models/cfos_channel3,0.4,0.0,,/media/server/STORAGE/Apotome/2025.07.28_NPY/E7-FR7-5_NeuN.tif,cellprob_threshold;colors;diameter;filename;flow_threshold;flows;ismanual;manual_changes;masks;model_path;normalize_params;outlines;ratio;restore,1382x1382x3,uint8
E7_FR7-5,e7-fr7-5,Sucrose,c-FOS,/tmp/fig3_human_accepted_raw_project_20260823_v1/Paper/Fig3/raw/legacy_experiment_2025_07_28/E7-FR7-5_fos_seg.npy,b8beb7ad8b106484c58042af943fb0ae4003d01196be3ae6ad8b2cd513eb68dc,38218807,/tmp/fig3_human_accepted_raw_project_20260823_v1/Paper/Fig3/raw/legacy_experiment_2025_07_28/E7-FR7-5_fos.tif,499961aa1b74ff15544cf705dedb09b57714e72f8ad7f6a98b7d7123a4e4b796,5730002,True,True,True,,1382,1382,uint16,83,83,True,9,83,9,/home/server/.cellpose/models/cfos_channel3,0.4,0.0,,/media/server/STORAGE/Apotome/2025.07.28_NPY/E7-FR7-5_fos.tif,cellprob_threshold;colors;diameter;filename;flow_threshold;flows;ismanual;manual_changes;masks;model_path;normalize_params;outlines;ratio;restore,1382x1382x3,uint8
