animal_id,sample_id,condition,channel,role,used_by_numeric_analysis,path,size_bytes,sha256
E7_FR7-5,e7-fr7-5,Sucrose,NeuN,cellpose_segmentation,True,/tmp/fig3_human_accepted_raw_project_20260823_v1/Paper/Fig3/raw/legacy_experiment_2025_07_28/E7-FR7-5_NeuN_seg.npy,38219242,362becdd2a9ff591b4d8ebd5e70ef2cc316932f830c07037c794a2b7481740d7
E7_FR7-5,e7-fr7-5,Sucrose,c-FOS,cellpose_segmentation,True,/tmp/fig3_human_accepted_raw_project_20260823_v1/Paper/Fig3/raw/legacy_experiment_2025_07_28/E7-FR7-5_fos_seg.npy,38218807,b8beb7ad8b106484c58042af943fb0ae4003d01196be3ae6ad8b2cd513eb68dc
E9_FR8-1,e9-fr8-1,Sucrose,DAPI,cellpose_segmentation,True,/tmp/fig3_human_accepted_raw_project_20260823_v1/Paper/Fig3/raw/legacy_experiment_2025_07_28/E9-FR8-1_dapi_seg.npy,26163473,604bb94ab52dc5164778cd84a891213eab35f7567f4e2664d36da6ceca9beb16
E9_FR8-1,e9-fr8-1,Sucrose,NPY,cellpose_segmentation,True,/tmp/fig3_human_accepted_raw_project_20260823_v1/Paper/Fig3/raw/legacy_experiment_2025_07_28/E9-FR8-1_gfp_seg.npy,26400794,6613a9de314ed044f7acaf80f42e557f312b680587a3bbaaca68e42bcd76ea85
E9_FR8-1,e9-fr8-1,Sucrose,NeuN,cellpose_segmentation,True,/tmp/fig3_human_accepted_raw_project_20260823_v1/Paper/Fig3/raw/legacy_experiment_2025_07_28/E9-FR8-1_NeuN_seg.npy,26154511,d5fbd004c8bbac5c742b0bdf6528c8959a53e571901022e90457ca3d519938a3
E9_FR8-1,e9-fr8-1,Sucrose,c-FOS,cellpose_segmentation,True,/tmp/fig3_human_accepted_raw_project_20260823_v1/Paper/Fig3/raw/legacy_experiment_2025_07_28/E9-FR8-1_fos_seg.npy,26162715,ebea3ba28318a515cefca38d152b6c25f3a9f9875581197209879d0bd3ff4bfd
WATER_NPY1,water-npy1-0001,Water,DAPI,cellpose_segmentation,True,/tmp/fig3_human_accepted_raw_project_20260823_v1/Paper/Fig3/raw/legacy_experiment_2025_07_28/water/WATER_NPY1-0001_dapi_seg.npy,162426731,0f2ed27f48b02b6b49887d073184e0c9ed64a53b2e8e83d42da9a7b285a5e052
WATER_NPY1,water-npy1-0001,Water,NPY,cellpose_segmentation,True,/tmp/fig3_human_accepted_raw_project_20260823_v1/Paper/Fig3/raw/legacy_experiment_2025_07_28/water/WATER_NPY1-0001_GFP_seg.npy,162424831,7e10840e389a8aef1d01b3846e89c47b6582a97e5a581c214dc916e80f771b59
WATER_NPY1,water-npy1-0001,Water,NeuN,cellpose_segmentation,True,/tmp/fig3_human_accepted_raw_project_20260823_v1/Paper/Fig3/raw/legacy_experiment_2025_07_28/water/WATER_NPY1-0001_NeuN_seg.npy,162810515,07378e5fc3d5a93cfce7c3f63e63955955f9e491d40dd0fd5e2bb874062941bf
WATER_NPY1,water-npy1-0001,Water,c-FOS,cellpose_segmentation,True,/tmp/fig3_human_accepted_raw_project_20260823_v1/Paper/Fig3/raw/legacy_experiment_2025_07_28/water/WATER_NPY1-0001_fos_seg.npy,165186891,3731ab03188d5acc90fdcfe8a8a69b6a0a7b22a73bb41fe20fd7dbdf04e56eef
WATER_NPY2,water-npy2-0001,Water,DAPI,cellpose_segmentation,True,/tmp/fig3_human_accepted_raw_project_20260823_v1/Paper/Fig3/raw/legacy_experiment_2025_07_28/water/WATER_NPY2-0001_dapi_seg.npy,282574685,fb77993b5d928e6f9fc19043e076554729db5721203f1780feba9675d2f12c0b
WATER_NPY2,water-npy2-0001,Water,NPY,cellpose_segmentation,True,/tmp/fig3_human_accepted_raw_project_20260823_v1/Paper/Fig3/raw/legacy_experiment_2025_07_28/water/WATER_NPY2-0001_GFP_seg.npy,283434332,5af0388dea2894f3d20b7794ae424bb5f66a9dd682d794744478fabcd560819d
WATER_NPY2,water-npy2-0001,Water,NeuN,cellpose_segmentation,True,/tmp/fig3_human_accepted_raw_project_20260823_v1/Paper/Fig3/raw/legacy_experiment_2025_07_28/water/WATER_NPY2-0001_NeuN_seg.npy,282879880,216d38e8c960275cfd979337b670382eae25f0a43e05be58c117de45f22caa33
WATER_NPY2,water-npy2-0001,Water,c-FOS,cellpose_segmentation,True,/tmp/fig3_human_accepted_raw_project_20260823_v1/Paper/Fig3/raw/legacy_experiment_2025_07_28/water/WATER_NPY2-0001_fos_seg.npy,284018442,b6e82a6c85966dba752dca04bb8e21d9a05027b44c1b3fbf465cbfc5dcfea85d
WATER_NPY3,water-npy3-s01,Water,DAPI,cellpose_segmentation,True,/tmp/fig3_human_accepted_raw_project_20260823_v1/Paper/Fig3/raw/legacy_experiment_2025_07_28/water/WATER_NPY3_S01_dapi_seg.npy,53881374,f2fe88d7ea465247ac1eff4c388391e0b5c287b9436420b5012f6a071d2a5f82
WATER_NPY3,water-npy3-s01,Water,NPY,cellpose_segmentation,True,/tmp/fig3_human_accepted_raw_project_20260823_v1/Paper/Fig3/raw/legacy_experiment_2025_07_28/water/WATER_NPY3_S01_GFP_seg.npy,53945479,477a965a90b442d3b814d41405ce30083bab84e8e2f4028f42995959a70b2a0c
WATER_NPY3,water-npy3-s01,Water,c-FOS,cellpose_segmentation,True,/tmp/fig3_human_accepted_raw_project_20260823_v1/Paper/Fig3/raw/legacy_experiment_2025_07_28/water/WATER_NPY3_S01_fos_seg.npy,53873392,50a93a70f12088afb1f63aaa337636003cb242e41d0c2ae94c894efd21816648
E8_FR6-1,e8-fr6-1-alulosa-25x,Allulose,DAPI,channel_tiff_companion,False,/tmp/fig3_human_accepted_raw_project_20260823_v1/Paper/Fig3/raw/legacy_experiment_2025_07_28/E8 FR6-1_ALULOSA_25X_dapi.tif,3922346,1368b6d2d4629992032b48b7414c60c03e9cdc81a27fe98f8d056e51a7cefe07
E8_FR6-1,e8-fr6-1-alulosa-25x,Allulose,NPY,channel_tiff_companion,False,/tmp/fig3_human_accepted_raw_project_20260823_v1/Paper/Fig3/raw/legacy_experiment_2025_07_28/E8 FR6-1_ALULOSA_25X_gfp.tif,3922346,25dbd688704f6dba9b801087a272e2ce9796bafe350fdc65016fa8f00fb4d0c4
E8_FR6-1,e8-fr6-1-alulosa-25x,Allulose,NeuN,channel_tiff_companion,False,/tmp/fig3_human_accepted_raw_project_20260823_v1/Paper/Fig3/raw/legacy_experiment_2025_07_28/E8 FR6-1_ALULOSA_25X_NeuN.tif,3922346,42212745773d40e9e6e727d3cd98afeaa5afd30e8f32c8cd102606b18f1b3798
E8_FR6-1,e8-fr6-1-alulosa-25x,Allulose,c-FOS,channel_tiff_companion,False,/tmp/fig3_human_accepted_raw_project_20260823_v1/Paper/Fig3/raw/legacy_experiment_2025_07_28/E8 FR6-1_ALULOSA_25X_fos.tif,3922346,07d64f7e7820d066616fcd23d798b0b333f8b9d24f2425feb4f87183029e27a0
E8_FR6-3,e8-fr6-3-alulosa,Allulose,DAPI,channel_tiff_companion,False,/tmp/fig3_human_accepted_raw_project_20260823_v1/Paper/Fig3/raw/legacy_experiment_2025_07_28/E8-FR6-3_ALULOSA_dapi.tif,3937370,1dbc16b60598d151611e4f69790737199bf43a6c17f5f29606fcbbd0916ec7f0
E8_FR6-3,e8-fr6-3-alulosa,Allulose,NPY,channel_tiff_companion,False,/tmp/fig3_human_accepted_raw_project_20260823_v1/Paper/Fig3/raw/legacy_experiment_2025_07_28/E8-FR6-3_ALULOSA_gfp.tif,3937370,6a8bc29b396c6f9df8db50dd519932456cd686d3a9eb0a4eed20b0d432609a96
E8_FR6-3,e8-fr6-3-alulosa,Allulose,NeuN,channel_tiff_companion,False,/tmp/fig3_human_accepted_raw_project_20260823_v1/Paper/Fig3/raw/legacy_experiment_2025_07_28/E8-FR6-3_ALULOSA_NeuN.tif,3937370,03151b3b5bc9c5ccbadbedf48b7644fa30c726f5e728de7908676bf0092beb26
E8_FR6-3,e8-fr6-3-alulosa,Allulose,c-FOS,channel_tiff_companion,False,/tmp/fig3_human_accepted_raw_project_20260823_v1/Paper/Fig3/raw/legacy_experiment_2025_07_28/E8-FR6-3_ALULOSA_fos.tif,3937370,3b1b05659dfa0cb059b853f8afa182e4a03ded9b57a75649357251304deb5c62
E8_FR6-4,e8-fr6-4-alulosa,Allulose,DAPI,channel_tiff_companion,False,/tmp/fig3_human_accepted_raw_project_20260823_v1/Paper/Fig3/raw/legacy_experiment_2025_07_28/E8-FR6-4_ALULOSA_dapi.tif,3922346,59318a5c319d2d72c5aa3bc672742852149ea9038cdd143b0df2b5c5e9fe1f6b
E8_FR6-4,e8-fr6-4-alulosa,Allulose,NPY,channel_tiff_companion,False,/tmp/fig3_human_accepted_raw_project_20260823_v1/Paper/Fig3/raw/legacy_experiment_2025_07_28/E8-FR6-4_ALULOSA_gfp.tif,3922346,4c21c8f06844f488757ce9c8e9b82b33fc7e430c6b9fe8d3e45f0a6bac897da1
