figure,role,source_path,destination_relative_path,file_type,size_bytes,source_sha256,destination_sha256,source_device,source_inode,destination_device,destination_inode,distinct_inode,copy_method,metadata_match,copied_utc,provenance_evidence,required_by
Fig1,cage_bottle_consumption,/media/server/STORAGE/Apotome/Comportamiento/raw/experiment_1_single_bottle/consumption.csv,raw_data/consumption.csv,text/csv,6630,881d1db4c72e66faee9a464a360c2b8b4c9b274cbe201d8263a30f95f6f24823,881d1db4c72e66faee9a464a360c2b8b4c9b274cbe201d8263a30f95f6f24823,2112,218431521,2112,218432727,true,cp -a --reflink=never,true,2026-08-23T12:50:19Z,docs/Commands_2026.txt provenance hash snapshot,Fig1/scripts/canonical_snapshot_20260823/scripts/Fig1/01_analyze_behavior_experiment1.py --consumption
Fig1,mouse_body_weights,/media/server/STORAGE/Apotome/Comportamiento/raw/experiment_1_single_bottle/weights.csv,raw_data/weights.csv,text/csv,6605,c058f4695f9ae1417468a4cacaf58b79c98a46a12d5fbff5f7546b216894d1fa,c058f4695f9ae1417468a4cacaf58b79c98a46a12d5fbff5f7546b216894d1fa,2112,218431931,2112,218432728,true,cp -a --reflink=never,true,2026-08-23T12:50:19Z,docs/Commands_2026.txt provenance hash snapshot,Fig1/scripts/canonical_snapshot_20260823/scripts/Fig1/01_analyze_behavior_experiment1.py --weights
