E,Treatment,Sex,Genotype,Date,MeasurementType,Value
E10,Water,Female,Mixed,2025-01-15,Bottle_Weight,178.41
E10,Water,Female,Mixed,2025-01-17,Bottle_Weight,155.51
E10,Water,Female,Mixed,2025-01-20,Bottle_Weight,104.17
E10,Water,Female,Mixed,2025-01-22,Bottle_Weight,200.46

E10,Water,Female,Mixed,2025-01-13,Bottle_Volume,200
E10,Water,Female,Mixed,2025-01-15,Bottle_Volume,180
E10,Water,Female,Mixed,2025-01-17,Bottle_Volume,160
E10,Water,Female,Mixed,2025-01-20,Bottle_Volume,110
E10,Water,Female,Mixed,2025-01-22,Bottle_Volume,200

E11,Water,Male,POMC,2025-01-13,Bottle_Weight,200.75
E11,Water,Male,POMC,2025-01-15,Bottle_Weight,187.54
E11,Water,Male,POMC,2025-01-17,Bottle_Weight,175.54
E11,Water,Male,POMC,2025-01-20,Bottle_Weight,155.95
E11,Water,Male,POMC,2025-01-22,Bottle_Weight,200.30

E11,Water,Male,POMC,2025-01-13,Bottle_Volume,200
E11,Water,Male,POMC,2025-01-15,Bottle_Volume,190
E11,Water,Male,POMC,2025-01-17,Bottle_Volume,180
E11,Water,Male,POMC,2025-01-20,Bottle_Volume,160
E11,Water,Male,POMC,2025-01-22,Bottle_Volume,200

E12,Water,Male,NPY,2025-01-13,Bottle_Weight,200.84
E12,Water,Male,NPY,2025-01-15,Bottle_Weight,188.87
E12,Water,Male,NPY,2025-01-17,Bottle_Weight,179.68
E12,Water,Male,NPY,2025-01-20,Bottle_Weight,162.02
E12,Water,Male,NPY,2025-01-22,Bottle_Weight,200.68

E12,Water,Male,NPY,2025-01-13,Bottle_Volume,200
E12,Water,Male,NPY,2025-01-15,Bottle_Volume,190
E12,Water,Male,NPY,2025-01-17,Bottle_Volume,180
E12,Water,Male,NPY,2025-01-20,Bottle_Volume,165
E12,Water,Male,NPY,2025-01-22,Bottle_Volume,200

E13,Water,Male,POMC,2025-08-18,Bottle_Weight,200
E13,Water,Male,POMC,2025-08-21,Bottle_Weight,159.8
E13,Water,Male,POMC,2025-08-24,Bottle_Weight,123.3
						
E14,Water,Female,POMC,2025-08-18,Bottle_Weight,200
E14,Water,Female,POMC,2025-08-21,Bottle_Weight,162.7
E14,Water,Female,POMC,2025-08-24,Bottle_Weight,134
