E,Treatment,Sex,Genotype,AnimalID,Date,BodyWeight
E10,Water,Female,Mixed,FR1-1,2025-01-17,20.23
E10,Water,Female,Mixed,FR1-1,2025-01-20,21.15
E10,Water,Female,Mixed,FR1-1,2025-01-22,20.56

E10,Water,Female,Mixed,FR7-2,2025-01-13,20.88
E10,Water,Female,Mixed,FR7-2,2025-01-15,20.81
E10,Water,Female,Mixed,FR7-2,2025-01-17,20.75
E10,Water,Female,Mixed,FR7-2,2025-01-20,20.89
E10,Water,Female,Mixed,FR7-2,2025-01-22,20.88

E10,Control,Female,Mixed,FR6-2,2025-01-13,18.07
E10,Control,Female,Mixed,FR6-2,2025-01-15,18.55
E10,Control,Female,Mixed,FR6-2,2025-01-17,18.82
E10,Control,Female,Mixed,FR6-2,2025-01-20,19.28
E10,Control,Female,Mixed,FR6-2,2025-01-22,18.98

E10,Allulose,Female,Mixed,FR5-4,2025-01-13,0
E10,Allulose,Female,Mixed,FR5-4,2025-01-15,0
E10,Allulose,Female,Mixed,FR5-4,2025-01-17,0
E10,Allulose,Female,Mixed,FR5-4,2025-01-20,0
E10,Allulose,Female,Mixed,FR5-4,2025-01-22,20.43

E11,Water,Male,POMC,FR3-3,2025-01-13,29.71
E11,Water,Male,POMC,FR3-3,2025-01-15,29.01
E11,Water,Male,POMC,FR3-3,2025-01-17,28.96
E11,Water,Male,POMC,FR3-3,2025-01-20,29.37
E11,Water,Male,POMC,FR3-3,2025-01-22,28.90

E12,Water,Male,NPY,FR8-2,2025-01-13,24.09
E12,Water,Male,NPY,FR8-2,2025-01-15,23.93
E12,Water,Male,NPY,FR8-2,2025-01-17,23.75
E12,Water,Male,NPY,FR8-2,2025-01-20,24.02
E12,Water,Male,NPY,FR8-2,2025-01-22,24.43

E13,Water,Male,POMC,FR2-1-UCSC,2025-08-18,22.7
E13,Water,Male,POMC,FR2-1-UCSC,2025-08-21,23.2
E13,Water,Male,POMC,FR2-1-UCSC,2025-08-24,23.4
						
E13,Water,Male,POMC,FR2-2-UCSC,2025-08-18,21.4
E13,Water,Male,POMC,FR2-2-UCSC,2025-08-21,21.5
E13,Water,Male,POMC,FR2-2-UCSC,2025-08-24,22.1
						
E13,Water,Male,POMC,FR2-3-UCSC,2025-08-18,21.4
E13,Water,Male,POMC,FR2-3-UCSC,2025-08-21,22.1
E13,Water,Male,POMC,FR2-3-UCSC,2025-08-24,22.5
						
E14,Water,Female,POMC,FR3-1-UCSC,2025-08-18,17.9
E14,Water,Female,POMC,FR3-1-UCSC,2025-08-21,18.6
E14,Water,Female,POMC,FR3-1-UCSC,2025-08-24,18.8
						
E14,Water,Female,POMC,FR3-2-UCSC,2025-08-18,17.2
E14,Water,Female,POMC,FR3-2-UCSC,2025-08-21,17.7
E14,Water,Female,POMC,FR3-2-UCSC,2025-08-24,18.3
						
E14,Water,Female,POMC,FR3-3-UCSC,2025-08-18,15.8
E14,Water,Female,POMC,FR3-3-UCSC,2025-08-21,15.7
E14,Water,Female,POMC,FR3-3-UCSC,2025-08-24,15
