family,organ,model_class_raw,contrast,effect_previous,freedman_lane_permutation_p_value_previous,q_value_global_previous,effect_corrected,freedman_lane_permutation_p_value_corrected,q_value_global_corrected,feature,outcome
composition,Spleen,Fibroblasts,Sucrose vs Water,0.1412909432610666,0.6208,1.0,0.1412909432610667,0.58482,1.0,,
composition,Spleen,Fibroblasts,Allulose vs Water,0.2472777600715237,0.3916,1.0,0.2472777600715234,0.36205,1.0,,
composition,Spleen,Plasmocytes,Sucrose vs Water,-0.0200707605141457,0.9698,1.0,-0.020070760514146,0.96925,1.0,,
composition,Spleen,Plasmocytes,Allulose vs Water,-0.1491424993117885,0.8294,1.0,-0.1491424993117882,0.80224,1.0,,
composition,Spleen,Eosinophils,Sucrose vs Water,,1.0,1.0,,1.0,1.0,,
composition,Spleen,Eosinophils,Allulose vs Water,,1.0,1.0,,1.0,1.0,,
composition,Spleen,Neutrophils,Sucrose vs Water,-0.0417377158976126,0.9082,1.0,-0.0417377158976122,0.89906,1.0,,
composition,Spleen,Neutrophils,Allulose vs Water,-0.4106566030735292,0.394,1.0,-0.4106566030735287,0.35101,1.0,,
composition,Spleen,Macrophages,Sucrose vs Water,0.1890950805094329,0.474,1.0,0.189095080509433,0.43719,1.0,,
composition,Spleen,Macrophages,Allulose vs Water,0.3564899717838852,0.1754,0.99944,0.3564899717838848,0.14442,0.8343919999999999,,
composition,Spleen,Muscle Cell,Sucrose vs Water,0.1265988487087379,0.7082,1.0,0.1265988487087379,0.67909,1.0,,
composition,Spleen,Muscle Cell,Allulose vs Water,0.1888192179327565,0.626,1.0,0.1888192179327565,0.60313,1.0,,
composition,Spleen,Endothelial Cell,Sucrose vs Water,-0.4534183924359418,0.189,0.99944,-0.453418392435942,0.15288,0.8343919999999999,,
composition,Spleen,Endothelial Cell,Allulose vs Water,-0.0229499304900446,0.9436,1.0,-0.0229499304900443,0.94466,1.0,,
composition,Spleen,Red blood cell,Sucrose vs Water,,1.0,1.0,,1.0,1.0,,
composition,Spleen,Red blood cell,Allulose vs Water,,1.0,1.0,,1.0,1.0,,
composition,Spleen,Epithelial,Sucrose vs Water,0.3272697895614014,0.3818,1.0,0.3272697895614015,0.34264,1.0,,
composition,Spleen,Epithelial,Allulose vs Water,-0.0274822594777893,0.9468,1.0,-0.0274822594777894,0.94429,1.0,,
composition,Spleen,Apoptotic Body,Sucrose vs Water,-0.0716729700843041,0.8408,1.0,-0.0716729700843037,0.81701,1.0,,
composition,Spleen,Apoptotic Body,Allulose vs Water,-0.4631832967360388,0.1644,0.99944,-0.4631832967360387,0.12795,0.8343919999999999,,
composition,Spleen,Mitotic Figures,Sucrose vs Water,,1.0,1.0,,1.0,1.0,,
composition,Spleen,Mitotic Figures,Allulose vs Water,,1.0,1.0,,1.0,1.0,,
composition,Spleen,Minor Stromal Cell,Sucrose vs Water,,1.0,1.0,,1.0,1.0,,
composition,Spleen,Minor Stromal Cell,Allulose vs Water,,1.0,1.0,,1.0,1.0,,
classical,Kidney,,Sucrose vs Water,-0.6455089501000246,0.2582,0.4971789473684211,-0.6455089501000251,0.22263,0.440298947368421,classical_nuclei_density_mm2,
classical,Kidney,,Allulose vs Water,0.4383893609930426,0.407,0.6977142857142856,0.4383893609930424,0.3575,0.6128571428571428,classical_nuclei_density_mm2,
classical,Kidney,,Sucrose vs Water,-0.2599099484195323,0.6392,0.8739870967741935,-0.2599099484195324,0.61093,0.8504477419354839,classical_nucleus_area_median_um2,
classical,Kidney,,Allulose vs Water,0.0445525784744876,0.9512,0.9626,0.0445525784744875,0.93846,0.96012,classical_nucleus_area_median_um2,
classical,Kidney,,Sucrose vs Water,0.1055028425760176,0.8392,0.915490909090909,0.1055028425760179,0.82832,0.9036218181818182,classical_nucleus_eccentricity_median,
classical,Kidney,,Allulose vs Water,-0.3019656444350533,0.5322,0.833008695652174,-0.3019656444350532,0.50527,0.7908573913043478,classical_nucleus_eccentricity_median,
classical,Kidney,,Sucrose vs Water,0.0746135746784429,0.8828,0.934729411764706,0.0746135746784428,0.87817,0.9298270588235296,classical_nucleus_solidity_median,
classical,Kidney,,Allulose vs Water,0.2320351373976205,0.7126,0.8739870967741935,0.2320351373976202,0.69112,0.8504477419354839,classical_nucleus_solidity_median,
classical,Kidney,,Sucrose vs Water,0.8298279354105786,0.082,0.328,0.8298279354105789,0.06404,0.25616,hematoxylin_mean,
classical,Kidney,,Allulose vs Water,0.7200450241598797,0.1354,0.4032,0.7200450241598794,0.11644,0.3400199999999999,hematoxylin_mean,
classical,Kidney,,Sucrose vs Water,1.3540641419470498,0.0064,0.2304,1.35406414194705,0.00624,0.22464,eosin_mean,
classical,Kidney,,Allulose vs Water,1.072433545096794,0.0404,0.3114,1.0724335450967932,0.02828,0.2352,eosin_mean,
classical,Liver,,Sucrose vs Water,0.1411842126621925,0.8154,0.915490909090909,0.1411842126621931,0.79494,0.8943075,classical_nuclei_density_mm2,
classical,Liver,,Allulose vs Water,-1.0345459902004694,0.0588,0.3114,-1.0345459902004688,0.0392,0.2352,classical_nuclei_density_mm2,
classical,Liver,,Sucrose vs Water,-0.8359749392158127,0.0692,0.3114,-0.8359749392158138,0.05669,0.255105,classical_nucleus_area_median_um2,
classical,Liver,,Allulose vs Water,0.6652419351713312,0.1456,0.4032,0.665241935171331,0.12727,0.3400199999999999,classical_nucleus_area_median_um2,
classical,Liver,,Sucrose vs Water,1.0726463743673875,0.0628,0.3114,1.0726463743673875,0.05054,0.255105,classical_nucleus_eccentricity_median,
classical,Liver,,Allulose vs Water,0.1730493368833303,0.7122,0.8739870967741935,0.1730493368833304,0.69021,0.8504477419354839,classical_nucleus_eccentricity_median,
classical,Liver,,Sucrose vs Water,-0.6514082240713311,0.2046,0.49104,-0.6514082240713317,0.17245,0.4138799999999999,classical_nucleus_solidity_median,
classical,Liver,,Allulose vs Water,0.0244314346704153,0.9626,0.9626,0.0244314346704153,0.96012,0.96012,classical_nucleus_solidity_median,
classical,Liver,,Sucrose vs Water,0.5622151838926747,0.1322,0.4032,0.5622151838926746,0.10749,0.3400199999999999,hematoxylin_mean,
classical,Liver,,Allulose vs Water,0.717887196233634,0.2194,0.49365,0.7178871962336336,0.19469,0.4380525,hematoxylin_mean,
classical,Liver,,Sucrose vs Water,0.4131755440709381,0.1592,0.4093714285714286,0.4131755440709378,0.13223,0.3400199999999999,eosin_mean,
classical,Liver,,Allulose vs Water,1.124001844718003,0.0446,0.3114,1.1240018447180025,0.03818,0.2352,eosin_mean,
classical,Spleen,,Sucrose vs Water,0.3369871900297971,0.4646,0.7602545454545454,0.3369871900297974,0.42262,0.69156,classical_nuclei_density_mm2,
classical,Spleen,,Allulose vs Water,-0.3127146823560442,0.5734,0.8601000000000001,-0.312714682356044,0.53896,0.80844,classical_nuclei_density_mm2,
classical,Spleen,,Sucrose vs Water,-0.6341149075804268,0.124,0.4032,-0.6341149075804271,0.10548,0.3400199999999999,classical_nucleus_area_median_um2,
classical,Spleen,,Allulose vs Water,-0.2130190167151671,0.671,0.8739870967741935,-0.2130190167151672,0.65666,0.8504477419354839,classical_nucleus_area_median_um2,
classical,Spleen,,Sucrose vs Water,0.1928425450749753,0.7526,0.8739870967741935,0.1928425450749753,0.73099,0.8504477419354839,classical_nucleus_eccentricity_median,
classical,Spleen,,Allulose vs Water,-0.2067924168630109,0.7104,0.8739870967741935,-0.2067924168630107,0.69303,0.8504477419354839,classical_nucleus_eccentricity_median,
classical,Spleen,,Sucrose vs Water,-0.5936719532687751,0.3306,0.5950799999999999,-0.5936719532687754,0.29713,0.534834,classical_nucleus_solidity_median,
classical,Spleen,,Allulose vs Water,0.1680629325723549,0.749,0.8739870967741935,0.1680629325723548,0.73233,0.8504477419354839,classical_nucleus_solidity_median,
classical,Spleen,,Sucrose vs Water,0.9127766814480344,0.0434,0.3114,0.9127766814480348,0.03714,0.2352,hematoxylin_mean,
classical,Spleen,,Allulose vs Water,0.6591013407677577,0.2624,0.4971789473684211,0.6591013407677575,0.23238,0.440298947368421,hematoxylin_mean,
classical,Spleen,,Sucrose vs Water,0.9228251794039268,0.0462,0.3114,0.9228251794039272,0.03217,0.2352,eosin_mean,
classical,Spleen,,Allulose vs Water,0.6211994861631243,0.2408,0.4971789473684211,0.6211994861631239,0.21052,0.440298947368421,eosin_mean,
deviation,Kidney,,Sucrose vs Water,0.1708352807060425,0.4782,0.69768,0.1708352807060425,0.45355,0.679968,,log1p Water-reference CLR Mahalanobis deviation
deviation,Kidney,,Allulose vs Water,-0.0073510645282954,0.9772,0.9772,-0.0073510645282954,0.9763,0.9763,,log1p Water-reference CLR Mahalanobis deviation
deviation,Liver,,Sucrose vs Water,0.1783727445984669,0.2968,0.69768,0.1783727445984667,0.26785,0.67768,,log1p Water-reference CLR Mahalanobis deviation
deviation,Liver,,Allulose vs Water,0.3184425057393333,0.0844,0.5064000000000001,0.3184425057393332,0.06854,0.41124,,log1p Water-reference CLR Mahalanobis deviation
deviation,Spleen,,Sucrose vs Water,0.1952364539847341,0.3736,0.69768,0.1952364539847342,0.33884,0.67768,,log1p Water-reference CLR Mahalanobis deviation
deviation,Spleen,,Allulose vs Water,0.1302453531977563,0.5814,0.69768,0.1302453531977562,0.56664,0.679968,,log1p Water-reference CLR Mahalanobis deviation
