path,relative_path,bytes,sha256,width_px,height_px,dpi_x,dpi_y
/media/server/STORAGE/Apotome/Paper/analyses/FigS5/figure/final_including_NPY_M_20260908/Figure_S5.pdf,Figure_S5.pdf,21588297,b43042861f4e45a4352f77a246eadf2e6c9137ec113245feb43e6296009706d6,,,,
/media/server/STORAGE/Apotome/Paper/analyses/FigS5/figure/final_including_NPY_M_20260908/panels/Figure_S5_panel_A.pdf,panels/Figure_S5_panel_A.pdf,5585583,6061aa4e14cb2935609fcb1a18a9a2b342403083440c24ee0b46b240736cdfd1,,,,
/media/server/STORAGE/Apotome/Paper/analyses/FigS5/figure/final_including_NPY_M_20260908/panels/Figure_S5_panel_A_spanish.pdf,panels/Figure_S5_panel_A_spanish.pdf,5586368,644162a46aa297a513d936d922fc873cdc69c768dfcd369d1e14a807778eedc9,,,,
/media/server/STORAGE/Apotome/Paper/analyses/FigS5/figure/final_including_NPY_M_20260908/panels/Figure_S5_panel_B.pdf,panels/Figure_S5_panel_B.pdf,7434725,f9b9b54f53363c98d030de07b7bac66c76861c34c7b001f30cda81d56b3f9582,,,,
/media/server/STORAGE/Apotome/Paper/analyses/FigS5/figure/final_including_NPY_M_20260908/panels/Figure_S5_panel_B_spanish.pdf,panels/Figure_S5_panel_B_spanish.pdf,7435166,f2131725c46a3d351f0ff7d1a74d15a8c4b341adefae464255b648dfd4788d8a,,,,
/media/server/STORAGE/Apotome/Paper/analyses/FigS5/figure/final_including_NPY_M_20260908/panels/Figure_S5_panel_C.pdf,panels/Figure_S5_panel_C.pdf,5513882,691d7f5868eb6c5c415a06d62e7d62a8e40b8f920e4316ccd3be0acce7208f46,,,,
/media/server/STORAGE/Apotome/Paper/analyses/FigS5/figure/final_including_NPY_M_20260908/panels/Figure_S5_panel_C_spanish.pdf,panels/Figure_S5_panel_C_spanish.pdf,5514669,2b8a0f7326d3dc2189cd1a6185a0135b411b61e756089485388e7f3315200a7c,,,,
/media/server/STORAGE/Apotome/Paper/analyses/FigS5/figure/final_including_NPY_M_20260908/panels/Figure_S5_panel_D.pdf,panels/Figure_S5_panel_D.pdf,373904,a3756aa591562766869399875d11c6599e0146add4caf34cc3cde39e3c84507a,,,,
/media/server/STORAGE/Apotome/Paper/analyses/FigS5/figure/final_including_NPY_M_20260908/panels/Figure_S5_panel_D_spanish.pdf,panels/Figure_S5_panel_D_spanish.pdf,373763,77729d65fff028e9eb7d9d912d43a9faeb6e93a0f2ef67e9c5c886794e60bab8,,,,
/media/server/STORAGE/Apotome/Paper/analyses/FigS5/figure/final_including_NPY_M_20260908/panels/Figure_S5_panel_E.pdf,panels/Figure_S5_panel_E.pdf,9265765,c3fbcc9a960b58926bf65b00da8744214ca48a564ea48af44c8fbd922a094964,,,,
/media/server/STORAGE/Apotome/Paper/analyses/FigS5/figure/final_including_NPY_M_20260908/panels/Figure_S5_panel_E_spanish.pdf,panels/Figure_S5_panel_E_spanish.pdf,9265622,ddf91c1b88d27845d69cf80d47edb68d51f3499004afe91b8d576d25c0ffbbde,,,,
/media/server/STORAGE/Apotome/Paper/analyses/FigS5/figure/final_including_NPY_M_20260908/panels/Figure_S5_panel_F.pdf,panels/Figure_S5_panel_F.pdf,7765520,070292613698bc0f600efb5f88c32fc3edcc130204d26c9c8aa72af0d878b777,,,,
/media/server/STORAGE/Apotome/Paper/analyses/FigS5/figure/final_including_NPY_M_20260908/panels/Figure_S5_panel_F_spanish.pdf,panels/Figure_S5_panel_F_spanish.pdf,7766453,b31484bb0a70e34bd1beb2ec1528e929811caeb4b5db370aba5a35279630f48a,,,,
/media/server/STORAGE/Apotome/Paper/analyses/FigS5/figure/final_including_NPY_M_20260908/panels/Figure_S5_panel_G.pdf,panels/Figure_S5_panel_G.pdf,31284,2a566c7170797ead68bd0e4fc462410b5fefd14b1666f00ded81cb26f9d35b27,,,,
/media/server/STORAGE/Apotome/Paper/analyses/FigS5/figure/final_including_NPY_M_20260908/panels/Figure_S5_panel_G_spanish.pdf,panels/Figure_S5_panel_G_spanish.pdf,32799,4fc6d5ed525dfff92263c664ccd034863636472a25b76e638713e956fe4cafde,,,,
/media/server/STORAGE/Apotome/Paper/analyses/FigS5/figure/final_including_NPY_M_20260908/panels/Figure_S5_panel_H.pdf,panels/Figure_S5_panel_H.pdf,27847,e3dd6d5cffc9843c296b9b286d3601ee9d13ddb04fa3534358775eb1925f690e,,,,
/media/server/STORAGE/Apotome/Paper/analyses/FigS5/figure/final_including_NPY_M_20260908/panels/Figure_S5_panel_H_spanish.pdf,panels/Figure_S5_panel_H_spanish.pdf,29576,8dde4a44c4cae5fcd44894e5357c919cb62285754f2e171d754d8098bebacfe6,,,,
/media/server/STORAGE/Apotome/Paper/analyses/FigS5/figure/final_including_NPY_M_20260908/panels/Figure_S5_panel_I.pdf,panels/Figure_S5_panel_I.pdf,93784,a0f9973bbdc4c179932a44dc919583737c27b0b3a1c5d9ce18595ed4d20dffec,,,,
/media/server/STORAGE/Apotome/Paper/analyses/FigS5/figure/final_including_NPY_M_20260908/panels/Figure_S5_panel_I_spanish.pdf,panels/Figure_S5_panel_I_spanish.pdf,94527,2459995e05935b587d3a55d4a381608a761f747bef16ca2d1f63564e21d57280,,,,
/media/server/STORAGE/Apotome/Paper/analyses/FigS5/figure/final_including_NPY_M_20260908/panels/Figure_S5_panel_J.pdf,panels/Figure_S5_panel_J.pdf,77528,4b084ebb957ad493fb2c65b97edeae3d19475094e9b7928f34085880c40374fa,,,,
/media/server/STORAGE/Apotome/Paper/analyses/FigS5/figure/final_including_NPY_M_20260908/panels/Figure_S5_panel_J_spanish.pdf,panels/Figure_S5_panel_J_spanish.pdf,77751,b25c9b3ffa5a50e4993a892b79e5b08f40805d1cc525f403a4c2d22f5239b6fd,,,,
