endpoint,endpoint_label,test,comparison,n_animals,n_water,n_sucrose,n_allulose,feature_count,feature_transform,distance,pseudo_f,r_squared,p_value_exact,extreme_labelings,enumerated_labelings,permutation_exhaustive,experimental_unit,cells_as_independent_replicates,analysis_tier,ventricle_exclusion,bh_q_value_two_endpoint_family,multiple_testing_family
cfos,c-FOS-positive nuclei / DAPI nuclei,exact animal-label PERMANOVA,Water|Sucrose|Allulose,9,3,3,3,6,arcsin(sqrt(shell positive nuclei / shell DAPI nuclei)),Euclidean on six-shell animal vectors,1.0894760073292524,0.26640968314196456,0.4,672,1680,True,biological animal,False,exploratory,accepted per-acquisition DAPI-only HIL 3V mask applied before shell construction and endpoint calculation,0.4642857142857143,two declared S5 ARC/ME spatial profiles: c-FOS/DAPI and c-FOS+ACTH/CLIP/DAPI
double,c-FOS and ACTH/CLIP double-positive nuclei / DAPI nuclei,exact animal-label PERMANOVA,Water|Sucrose|Allulose,9,3,3,3,6,arcsin(sqrt(shell positive nuclei / shell DAPI nuclei)),Euclidean on six-shell animal vectors,0.9344792115521701,0.2375102678922311,0.4642857142857143,780,1680,True,biological animal,False,exploratory,accepted per-acquisition DAPI-only HIL 3V mask applied before shell construction and endpoint calculation,0.4642857142857143,two declared S5 ARC/ME spatial profiles: c-FOS/DAPI and c-FOS+ACTH/CLIP/DAPI
