analysis_unit_id,acquisition_id,animal_id,condition,region,region_present,endpoint,endpoint_label,value,analysis_unit
2026-07-09_FR5-2_Allulose,2026-07-09_FR5-2_Allulose,FR5-2,Allulose,ME,True,total_acth_clip_over_dapi,total ACTH/CLIP+ / DAPI,0.004024144869215292,acquisition
2026-07-09_FR5-2_Allulose,2026-07-09_FR5-2_Allulose,FR5-2,Allulose,ME,True,double_over_dapi,c-FOS+ ACTH/CLIP+ / DAPI,0.0,acquisition
2026-07-09_FR5-2_Allulose,2026-07-09_FR5-2_Allulose,FR5-2,Allulose,ME,True,double_per_100k_um2,"c-FOS+ ACTH/CLIP+ / 100,000 µm²",0.0,acquisition
2026-07-09_FR5-2_Allulose,2026-07-09_FR5-2_Allulose,FR5-2,Allulose,ME,True,n_double,c-FOS+ ACTH/CLIP+ nuclei,0.0,acquisition
2026-07-09_FR5-3_Sucrose,2026-07-09_FR5-3_Sucrose,FR5-3,Sucrose,ARC,True,double_over_total_acth_clip,c-FOS+ ACTH/CLIP+ / total ACTH/CLIP,0.15384615384615385,acquisition
2026-07-09_FR5-3_Sucrose,2026-07-09_FR5-3_Sucrose,FR5-3,Sucrose,ARC,True,total_cfos_over_dapi,total c-FOS+ / DAPI,0.10427807486631016,acquisition
2026-07-09_FR5-3_Sucrose,2026-07-09_FR5-3_Sucrose,FR5-3,Sucrose,ARC,True,total_acth_clip_over_dapi,total ACTH/CLIP+ / DAPI,0.017379679144385027,acquisition
2026-07-09_FR5-3_Sucrose,2026-07-09_FR5-3_Sucrose,FR5-3,Sucrose,ARC,True,double_over_dapi,c-FOS+ ACTH/CLIP+ / DAPI,0.00267379679144385,acquisition
2026-07-09_FR5-3_Sucrose,2026-07-09_FR5-3_Sucrose,FR5-3,Sucrose,ARC,True,double_per_100k_um2,"c-FOS+ ACTH/CLIP+ / 100,000 µm²",0.8162366002262628,acquisition
2026-07-09_FR5-3_Sucrose,2026-07-09_FR5-3_Sucrose,FR5-3,Sucrose,ARC,True,n_double,c-FOS+ ACTH/CLIP+ nuclei,2.0,acquisition
2026-07-09_FR5-3_Sucrose,2026-07-09_FR5-3_Sucrose,FR5-3,Sucrose,ME,True,double_over_total_acth_clip,c-FOS+ ACTH/CLIP+ / total ACTH/CLIP,,acquisition
2026-07-09_FR5-3_Sucrose,2026-07-09_FR5-3_Sucrose,FR5-3,Sucrose,ME,True,total_cfos_over_dapi,total c-FOS+ / DAPI,0.003656307129798903,acquisition
