analysis_unit_id,acquisition_id,marker,roi_label,roi_area_px,assigned_nucleus,best_overlap_px,roi_overlap_fraction,accepted,reason,marker_display,dapi_area_reference_n,dapi_area_quantile,dapi_area_threshold_px,dapi_area_median_px,size_filter_pass,likely_noncell_by_size,dapi_expansion_px
2026-07-09_FR5-1_Allulose,2026-07-09_FR5-1_Allulose,cFOS,88,723,1254,479,0.6625172890733056,True,accepted_strict_direct_overlap,,,,,,,,
2026-07-09_FR5-1_Allulose,2026-07-09_FR5-1_Allulose,cFOS,89,874,1258,672,0.7688787185354691,True,accepted_strict_direct_overlap,,,,,,,,
2026-07-09_FR5-1_Allulose,2026-07-09_FR5-1_Allulose,cFOS,90,693,0,224,0.32323232323232326,False,overlap_below_threshold,,,,,,,,
2026-07-09_FR5-1_Allulose,2026-07-09_FR5-1_Allulose,cFOS,91,668,1281,609,0.9116766467065869,True,accepted_strict_direct_overlap,,,,,,,,
2026-07-09_FR5-1_Allulose,2026-07-09_FR5-1_Allulose,cFOS,92,563,1294,493,0.8756660746003553,True,accepted_strict_direct_overlap,,,,,,,,
2026-07-09_FR5-1_Allulose,2026-07-09_FR5-1_Allulose,cFOS,93,1521,1313,953,0.6265614727153189,True,accepted_strict_direct_overlap,,,,,,,,
2026-07-09_FR5-1_Allulose,2026-07-09_FR5-1_Allulose,cFOS,94,399,1305,316,0.7919799498746867,True,accepted_strict_direct_overlap,,,,,,,,
2026-07-09_FR5-1_Allulose,2026-07-09_FR5-1_Allulose,cFOS,95,864,0,342,0.3958333333333333,False,overlap_below_threshold,,,,,,,,
2026-07-09_FR5-1_Allulose,2026-07-09_FR5-1_Allulose,cFOS,96,1160,1324,761,0.6560344827586206,True,accepted_strict_direct_overlap,,,,,,,,
2026-07-09_FR5-1_Allulose,2026-07-09_FR5-1_Allulose,cFOS,97,206,1334,206,1.0,True,accepted_strict_direct_overlap,,,,,,,,
2026-07-09_FR5-1_Allulose,2026-07-09_FR5-1_Allulose,cFOS,98,453,1340,331,0.7306843267108167,True,accepted_strict_direct_overlap,,,,,,,,
2026-07-09_FR5-1_Allulose,2026-07-09_FR5-1_Allulose,cFOS,99,411,1356,283,0.6885644768856448,True,accepted_strict_direct_overlap,,,,,,,,
2026-07-09_FR5-1_Allulose,2026-07-09_FR5-1_Allulose,cFOS,100,568,1374,535,0.9419014084507042,True,accepted_strict_direct_overlap,,,,,,,,
2026-07-09_FR5-1_Allulose,2026-07-09_FR5-1_Allulose,cFOS,101,464,1407,457,0.9849137931034483,True,accepted_strict_direct_overlap,,,,,,,,
2026-07-09_FR5-1_Allulose,2026-07-09_FR5-1_Allulose,cFOS,102,339,1430,314,0.9262536873156342,True,accepted_strict_direct_overlap,,,,,,,,
