endpoint,endpoint_label,acquisition_id,animal_id,condition,radial_shell,shell_dapi_nuclei,shell_positive_nuclei,occurrence,occurrence_percent,arcsin_sqrt_occurrence,experimental_unit,ventricle_exclusion_applied,ventricle_exclusion_source
cfos,c-FOS-positive nuclei / DAPI nuclei,2026-07-09_FR5-3_Sucrose,FR5-3,Sucrose,1,211,16,0.07582938388625593,7.5829383886255926,0.27897597217552017,biological animal (one acquisition per animal),True,accepted per-acquisition DAPI-only HIL 3V mask
cfos,c-FOS-positive nuclei / DAPI nuclei,2026-07-09_FR5-3_Sucrose,FR5-3,Sucrose,2,211,32,0.15165876777251186,15.165876777251185,0.40001689850730954,biological animal (one acquisition per animal),True,accepted per-acquisition DAPI-only HIL 3V mask
cfos,c-FOS-positive nuclei / DAPI nuclei,2026-07-09_FR5-3_Sucrose,FR5-3,Sucrose,3,211,2,0.009478672985781991,0.9478672985781991,0.09751294132791047,biological animal (one acquisition per animal),True,accepted per-acquisition DAPI-only HIL 3V mask
cfos,c-FOS-positive nuclei / DAPI nuclei,2026-07-09_FR5-3_Sucrose,FR5-3,Sucrose,4,211,5,0.023696682464454975,2.3696682464454977,0.154551811051811,biological animal (one acquisition per animal),True,accepted per-acquisition DAPI-only HIL 3V mask
cfos,c-FOS-positive nuclei / DAPI nuclei,2026-07-09_FR5-3_Sucrose,FR5-3,Sucrose,5,211,8,0.037914691943127965,3.7914691943127963,0.19596887191707338,biological animal (one acquisition per animal),True,accepted per-acquisition DAPI-only HIL 3V mask
cfos,c-FOS-positive nuclei / DAPI nuclei,2026-07-09_FR5-3_Sucrose,FR5-3,Sucrose,6,212,17,0.08018867924528301,8.018867924528301,0.2871041056969749,biological animal (one acquisition per animal),True,accepted per-acquisition DAPI-only HIL 3V mask
cfos,c-FOS-positive nuclei / DAPI nuclei,2026-07-09_FR5-4_Sucrose,FR5-4,Sucrose,1,251,12,0.04780876494023904,4.780876494023905,0.22043298864350797,biological animal (one acquisition per animal),True,accepted per-acquisition DAPI-only HIL 3V mask
cfos,c-FOS-positive nuclei / DAPI nuclei,2026-07-09_FR5-4_Sucrose,FR5-4,Sucrose,2,250,12,0.048,4.8,0.22088071207502935,biological animal (one acquisition per animal),True,accepted per-acquisition DAPI-only HIL 3V mask
cfos,c-FOS-positive nuclei / DAPI nuclei,2026-07-09_FR5-4_Sucrose,FR5-4,Sucrose,3,250,5,0.02,2.0,0.1418970546041639,biological animal (one acquisition per animal),True,accepted per-acquisition DAPI-only HIL 3V mask
cfos,c-FOS-positive nuclei / DAPI nuclei,2026-07-09_FR5-4_Sucrose,FR5-4,Sucrose,4,250,6,0.024,2.4,0.15554580089598066,biological animal (one acquisition per animal),True,accepted per-acquisition DAPI-only HIL 3V mask
cfos,c-FOS-positive nuclei / DAPI nuclei,2026-07-09_FR5-4_Sucrose,FR5-4,Sucrose,5,250,10,0.04,4.0,0.2013579207903308,biological animal (one acquisition per animal),True,accepted per-acquisition DAPI-only HIL 3V mask
cfos,c-FOS-positive nuclei / DAPI nuclei,2026-07-09_FR5-4_Sucrose,FR5-4,Sucrose,6,251,24,0.09561752988047809,9.56175298804781,0.3143736121827376,biological animal (one acquisition per animal),True,accepted per-acquisition DAPI-only HIL 3V mask
cfos,c-FOS-positive nuclei / DAPI nuclei,2026-07-10_AGUA-M_Water,AGUA-M,Water,1,256,22,0.0859375,8.59375,0.297520961413772,biological animal (one acquisition per animal),True,accepted per-acquisition DAPI-only HIL 3V mask
cfos,c-FOS-positive nuclei / DAPI nuclei,2026-07-10_AGUA-M_Water,AGUA-M,Water,2,255,23,0.09019607843137255,9.019607843137255,0.3050350628161863,biological animal (one acquisition per animal),True,accepted per-acquisition DAPI-only HIL 3V mask
cfos,c-FOS-positive nuclei / DAPI nuclei,2026-07-10_AGUA-M_Water,AGUA-M,Water,3,255,22,0.08627450980392157,8.627450980392156,0.29812164823585174,biological animal (one acquisition per animal),True,accepted per-acquisition DAPI-only HIL 3V mask
cfos,c-FOS-positive nuclei / DAPI nuclei,2026-07-10_AGUA-M_Water,AGUA-M,Water,4,256,9,0.03515625,3.515625,0.1886163861754041,biological animal (one acquisition per animal),True,accepted per-acquisition DAPI-only HIL 3V mask
cfos,c-FOS-positive nuclei / DAPI nuclei,2026-07-10_AGUA-M_Water,AGUA-M,Water,5,255,8,0.03137254901960784,3.1372549019607843,0.17806243464096005,biological animal (one acquisition per animal),True,accepted per-acquisition DAPI-only HIL 3V mask
cfos,c-FOS-positive nuclei / DAPI nuclei,2026-07-10_AGUA-M_Water,AGUA-M,Water,6,256,8,0.03125,3.125,0.17771060084511175,biological animal (one acquisition per animal),True,accepted per-acquisition DAPI-only HIL 3V mask
cfos,c-FOS-positive nuclei / DAPI nuclei,2026-07-10_FR5-5_Water,FR5-5,Water,1,192,30,0.15625,15.625,0.40637778068433034,biological animal (one acquisition per animal),True,accepted per-acquisition DAPI-only HIL 3V mask
cfos,c-FOS-positive nuclei / DAPI nuclei,2026-07-10_FR5-5_Water,FR5-5,Water,2,192,34,0.17708333333333334,17.708333333333336,0.43434102559486537,biological animal (one acquisition per animal),True,accepted per-acquisition DAPI-only HIL 3V mask
cfos,c-FOS-positive nuclei / DAPI nuclei,2026-07-10_FR5-5_Water,FR5-5,Water,3,191,17,0.08900523560209424,8.900523560209423,0.3029503072188489,biological animal (one acquisition per animal),True,accepted per-acquisition DAPI-only HIL 3V mask
cfos,c-FOS-positive nuclei / DAPI nuclei,2026-07-10_FR5-5_Water,FR5-5,Water,4,192,11,0.057291666666666664,5.729166666666666,0.24170331663804692,biological animal (one acquisition per animal),True,accepted per-acquisition DAPI-only HIL 3V mask
cfos,c-FOS-positive nuclei / DAPI nuclei,2026-07-10_FR5-5_Water,FR5-5,Water,5,192,8,0.041666666666666664,4.166666666666666,0.20556893116117386,biological animal (one acquisition per animal),True,accepted per-acquisition DAPI-only HIL 3V mask
cfos,c-FOS-positive nuclei / DAPI nuclei,2026-07-10_FR5-5_Water,FR5-5,Water,6,192,13,0.06770833333333333,6.770833333333333,0.26323787619296213,biological animal (one acquisition per animal),True,accepted per-acquisition DAPI-only HIL 3V mask
cfos,c-FOS-positive nuclei / DAPI nuclei,2026-07-10_NPY-M_Water,NPY-M,Water,1,192,3,0.015625,1.5625,0.1253278311680654,biological animal (one acquisition per animal),True,accepted per-acquisition DAPI-only HIL 3V mask
cfos,c-FOS-positive nuclei / DAPI nuclei,2026-07-10_NPY-M_Water,NPY-M,Water,2,192,2,0.010416666666666666,1.0416666666666665,0.1022400994842674,biological animal (one acquisition per animal),True,accepted per-acquisition DAPI-only HIL 3V mask
cfos,c-FOS-positive nuclei / DAPI nuclei,2026-07-10_NPY-M_Water,NPY-M,Water,3,191,1,0.005235602094240838,0.5235602094240838,0.07242074889695373,biological animal (one acquisition per animal),True,accepted per-acquisition DAPI-only HIL 3V mask
cfos,c-FOS-positive nuclei / DAPI nuclei,2026-07-10_NPY-M_Water,NPY-M,Water,4,192,2,0.010416666666666666,1.0416666666666665,0.1022400994842674,biological animal (one acquisition per animal),True,accepted per-acquisition DAPI-only HIL 3V mask
cfos,c-FOS-positive nuclei / DAPI nuclei,2026-07-10_NPY-M_Water,NPY-M,Water,5,192,2,0.010416666666666666,1.0416666666666665,0.1022400994842674,biological animal (one acquisition per animal),True,accepted per-acquisition DAPI-only HIL 3V mask
cfos,c-FOS-positive nuclei / DAPI nuclei,2026-07-10_NPY-M_Water,NPY-M,Water,6,192,1,0.005208333333333333,0.5208333333333333,0.07223157744686826,biological animal (one acquisition per animal),True,accepted per-acquisition DAPI-only HIL 3V mask
double,c-FOS and ACTH/CLIP double-positive nuclei / DAPI nuclei,2026-07-09_FR4-1_Allulose,FR4-1,Allulose,1,211,12,0.05687203791469194,5.687203791469194,0.24079893877705838,biological animal (one acquisition per animal),True,accepted per-acquisition DAPI-only HIL 3V mask
double,c-FOS and ACTH/CLIP double-positive nuclei / DAPI nuclei,2026-07-09_FR4-1_Allulose,FR4-1,Allulose,2,211,10,0.04739336492890995,4.739336492890995,0.21945750559893454,biological animal (one acquisition per animal),True,accepted per-acquisition DAPI-only HIL 3V mask
double,c-FOS and ACTH/CLIP double-positive nuclei / DAPI nuclei,2026-07-09_FR4-1_Allulose,FR4-1,Allulose,3,210,2,0.009523809523809525,0.9523809523809524,0.09774557973398158,biological animal (one acquisition per animal),True,accepted per-acquisition DAPI-only HIL 3V mask
double,c-FOS and ACTH/CLIP double-positive nuclei / DAPI nuclei,2026-07-09_FR4-1_Allulose,FR4-1,Allulose,4,211,0,0.0,0.0,0.0,biological animal (one acquisition per animal),True,accepted per-acquisition DAPI-only HIL 3V mask
double,c-FOS and ACTH/CLIP double-positive nuclei / DAPI nuclei,2026-07-09_FR4-1_Allulose,FR4-1,Allulose,5,211,2,0.009478672985781991,0.9478672985781991,0.09751294132791047,biological animal (one acquisition per animal),True,accepted per-acquisition DAPI-only HIL 3V mask
double,c-FOS and ACTH/CLIP double-positive nuclei / DAPI nuclei,2026-07-09_FR4-1_Allulose,FR4-1,Allulose,6,211,0,0.0,0.0,0.0,biological animal (one acquisition per animal),True,accepted per-acquisition DAPI-only HIL 3V mask
double,c-FOS and ACTH/CLIP double-positive nuclei / DAPI nuclei,2026-07-09_FR5-1_Allulose,FR5-1,Allulose,1,232,2,0.008620689655172414,0.8620689655172413,0.09298159109019823,biological animal (one acquisition per animal),True,accepted per-acquisition DAPI-only HIL 3V mask
double,c-FOS and ACTH/CLIP double-positive nuclei / DAPI nuclei,2026-07-09_FR5-1_Allulose,FR5-1,Allulose,2,232,0,0.0,0.0,0.0,biological animal (one acquisition per animal),True,accepted per-acquisition DAPI-only HIL 3V mask
double,c-FOS and ACTH/CLIP double-positive nuclei / DAPI nuclei,2026-07-09_FR5-1_Allulose,FR5-1,Allulose,3,231,1,0.004329004329004329,0.4329004329004329,0.06584273347372105,biological animal (one acquisition per animal),True,accepted per-acquisition DAPI-only HIL 3V mask
double,c-FOS and ACTH/CLIP double-positive nuclei / DAPI nuclei,2026-07-09_FR5-1_Allulose,FR5-1,Allulose,4,232,0,0.0,0.0,0.0,biological animal (one acquisition per animal),True,accepted per-acquisition DAPI-only HIL 3V mask
double,c-FOS and ACTH/CLIP double-positive nuclei / DAPI nuclei,2026-07-09_FR5-1_Allulose,FR5-1,Allulose,5,232,1,0.004310344827586207,0.43103448275862066,0.06570047281543444,biological animal (one acquisition per animal),True,accepted per-acquisition DAPI-only HIL 3V mask
double,c-FOS and ACTH/CLIP double-positive nuclei / DAPI nuclei,2026-07-09_FR5-1_Allulose,FR5-1,Allulose,6,232,1,0.004310344827586207,0.43103448275862066,0.06570047281543444,biological animal (one acquisition per animal),True,accepted per-acquisition DAPI-only HIL 3V mask
double,c-FOS and ACTH/CLIP double-positive nuclei / DAPI nuclei,2026-07-09_FR5-2_Allulose,FR5-2,Allulose,1,254,6,0.023622047244094488,2.3622047244094486,0.15430627699842717,biological animal (one acquisition per animal),True,accepted per-acquisition DAPI-only HIL 3V mask
double,c-FOS and ACTH/CLIP double-positive nuclei / DAPI nuclei,2026-07-09_FR5-2_Allulose,FR5-2,Allulose,2,254,7,0.027559055118110236,2.7559055118110236,0.1667813257766673,biological animal (one acquisition per animal),True,accepted per-acquisition DAPI-only HIL 3V mask
