animal_order,animal_id,sample_id,condition,condition_order,experimental_unit,field_count,endpoint,endpoint_label,radial_shell,shell_dapi_quantile_start,shell_dapi_quantile_end,shell_dapi_nuclei,shell_positive_nuclei,occurrence_rate,occurrence_percent,arcsin_sqrt_occurrence,shell_inner_whitened_radius,shell_outer_whitened_radius,inference_role
2,WATER_NPY2,water-npy2-0001,Water,1,biological animal,1,double_occurrence,Ocurrencia espacial de núcleos dobles c-FOS y NPY positivos / núcleos DAPI,1,0,0.166666666667,1935,0,0,0,0,0.00633587898696,0.770299105614,one component of one animal-level six-shell vector
2,WATER_NPY2,water-npy2-0001,Water,1,biological animal,1,double_occurrence,Ocurrencia espacial de núcleos dobles c-FOS y NPY positivos / núcleos DAPI,2,0.166666666667,0.333333333333,1934,0,0,0,0,0.770299105614,1.10253522046,one component of one animal-level six-shell vector
2,WATER_NPY2,water-npy2-0001,Water,1,biological animal,1,double_occurrence,Ocurrencia espacial de núcleos dobles c-FOS y NPY positivos / núcleos DAPI,3,0.333333333333,0.5,1935,3,0.0015503875969,0.15503875969,0.0393851430616,1.10253522046,1.37725043469,one component of one animal-level six-shell vector
2,WATER_NPY2,water-npy2-0001,Water,1,biological animal,1,double_occurrence,Ocurrencia espacial de núcleos dobles c-FOS y NPY positivos / núcleos DAPI,4,0.5,0.666666666667,1934,23,0.011892450879,1.1892450879,0.109269829602,1.37725043469,1.6036899091,one component of one animal-level six-shell vector
2,WATER_NPY2,water-npy2-0001,Water,1,biological animal,1,double_occurrence,Ocurrencia espacial de núcleos dobles c-FOS y NPY positivos / núcleos DAPI,5,0.666666666667,0.833333333333,1935,31,0.0160206718346,1.60206718346,0.126913216133,1.6036899091,1.83063118767,one component of one animal-level six-shell vector
2,WATER_NPY2,water-npy2-0001,Water,1,biological animal,1,double_occurrence,Ocurrencia espacial de núcleos dobles c-FOS y NPY positivos / núcleos DAPI,6,0.833333333333,1,1935,0,0,0,0,1.83063118767,2.71529553394,one component of one animal-level six-shell vector
3,WATER_NPY3,water-npy3-s01,Water,1,biological animal,1,cfos_occurrence,Ocurrencia espacial de núcleos c-FOS positivos / núcleos DAPI,1,0,0.166666666667,538,12,0.0223048327138,2.23048327138,0.149908870335,0.067335149803,0.86244544488,one component of one animal-level six-shell vector
3,WATER_NPY3,water-npy3-s01,Water,1,biological animal,1,cfos_occurrence,Ocurrencia espacial de núcleos c-FOS positivos / núcleos DAPI,2,0.166666666667,0.333333333333,537,5,0.00931098696462,0.931098696462,0.0966438280126,0.86244544488,1.16554456763,one component of one animal-level six-shell vector
3,WATER_NPY3,water-npy3-s01,Water,1,biological animal,1,cfos_occurrence,Ocurrencia espacial de núcleos c-FOS positivos / núcleos DAPI,3,0.333333333333,0.5,537,5,0.00931098696462,0.931098696462,0.0966438280126,1.16554456763,1.36070361961,one component of one animal-level six-shell vector
3,WATER_NPY3,water-npy3-s01,Water,1,biological animal,1,cfos_occurrence,Ocurrencia espacial de núcleos c-FOS positivos / núcleos DAPI,4,0.5,0.666666666667,537,5,0.00931098696462,0.931098696462,0.0966438280126,1.36070361961,1.56578511437,one component of one animal-level six-shell vector
