panel,condition,sample_id,role,path,sha256,bytes,native_shape_yx,whole_field_instances,display_field_instances,notes
C,Allulose,e8-fr6-4-alulosa,npy_tiff,Fig3/raw/legacy_experiment_2025_07_28/E8-FR6-4_ALULOSA_gfp.tif,4c21c8f06844f488757ce9c8e9b82b33fc7e430c6b9fe8d3e45f0a6bac897da1,3922346,946x1382,,,native TIFF companion
C,Allulose,e8-fr6-4-alulosa,cfos_tiff,Fig3/raw/legacy_experiment_2025_07_28/E8-FR6-4_ALULOSA_fos.tif,a545e444fa819068b6ff0b1ab7d7488df543cc15f3f172126e03620a048de3c7,3922346,946x1382,,,native TIFF companion
C,Allulose,e8-fr6-4-alulosa,dapi_seg,Fig3/raw/legacy_experiment_2025_07_28/E8-FR6-4_ALULOSA_dapi_seg.npy,f3ba80789acb7a2d1b79241236fef7fbee11d66a3f3db7c8f959e8c077965314,26178306,946x1382,3372,3068,native label source; whole-field classification
C,Allulose,e8-fr6-4-alulosa,npy_seg,Fig3/raw/legacy_experiment_2025_07_28/E8-FR6-4_ALULOSA_gfp_seg.npy,81978bcca94d0e74e6cdd5d53291283aa54e6ab9288d4531072ac4cf889c0d14,26166661,946x1382,265,264,native label source; whole-field classification
C,Allulose,e8-fr6-4-alulosa,cfos_seg,Fig3/raw/legacy_experiment_2025_07_28/E8-FR6-4_ALULOSA_fos_seg.npy,b0df57d75a7307980a81cb34d280044e3cf6ea7b54fe82b12899838577a51dca,26157113,946x1382,328,291,native label source; whole-field classification
C,Allulose,e8-fr6-4-alulosa,external_tissue_display_outline,,d8053c8bffd6fb5e7b44d9623e9cc786c9c14beed4f8bece1073910a3b0b660a,,866x1374,1,1,"{""analysis_role"": ""display only; never an anatomical analysis ROI or denominator"", ""contour_path_counts"": {""external"": 1, ""tree"": 1}, ""fill_mask_policy"": ""original registered DAPI-supported tissue mask controls background fill"", ""holes_filled_px"": 4472, ""internal_gray_contour_path_count"": 0, ""original_area_px"": 1096130, ""outline_area_px"": 1100602, ""outline_binary_sha256"": ""d8053c8bffd6fb5e7b44d9623e9cc786c9c14beed4f8bece1073910a3b0b660a"", ""outline_mask_policy"": ""scipy.ndimage.binary_fill_holes(original tissue mask) used for display contour only""}"
C,Allulose,e8-fr6-4-alulosa,ventricular_lumen_display_annotation,,456634e39b1cf977c71c613e7cd337b4aeb699ac83f1cfca29d021bd5dea7ea2,,866x1374,1,1,"{""base_component_selection"": ""unique largest seed-intersecting component; top touch allowed; ROI lateral/bottom touch rejected"", ""base_source"": ""hash-bound registered Allulose raw DAPI TIFF"", ""base_threshold_normalized_intensity_lte"": 0.08, ""common_frame_shape_yx"": [866, 1374], ""common_frame_um_per_px"": 0.664212669961432, ""connected_components_8"": 1, ""contour_path_counts"": {""external"": 1, ""tree"": 1}, ""gaussian_sigma_px"": 1.5055418922648158, ""hole_fill_before_contouring"": true, ""human_in_loop_annotation"": {""accepted_at_utc"": ""2026-08-27T19:19:03.204734+00:00"", ""analysis_role"": ""display annotation only; never an analysis ROI or denominator"", ""mask_file_sha256"": ""c1533b1420c3b944ce5308d9643a03f10732d0fb2259e0953fda4dce8faec70f"", ""mask_geometry"": {""area_px"": 61652, ""bbox_yxyx_half_open"": [2, 629, 648, 858], ""binary_sha256"": ""456634e39b1cf977c71c613e7cd337b4aeb699ac83f1cfca29d021bd5dea7ea2"", ""centroid_yx"": [380.3980892752871, 706.6906831895153], ""connected_components_8"": 1, ""contour_path_counts"": {""external"": 1, ""tree"": 1}}, ""mask_path"": ""Fig3/hil_review/ventricle_cartoon_20260827_v1/allulose_ventricle_mask.png"", ""method"": ""human-in-the-loop closed polygon in the exact registered common frame"", ""notes"": """", ""polygon_vertex_count"": 45, ""raster_vertices_sha256_i32_le"": ""2a94e6594ba80f4c3294cc90b1ec557a13914344eea8b905fa029b8a143f8cc9"", ""receipt_path"": ""Fig3/hil_review/ventricle_cartoon_20260827_v1/allulose_ventricle_receipt.json"", ""receipt_sha256"": ""12f33f21d9237283165d00841dd879f89ae43db0d2aed8625a6a0c1f7488c8e5"", ""reviewer"": ""Carlos Farkas"", ""session"": ""1"", ""source_binding"": {""dapi_tiff_sha256"": ""59318a5c319d2d72c5aa3bc672742852149ea9038cdd143b0df2b5c5e9fe1f6b"", ""raw_dapi_lumen_source_binary_sha256"": ""c4521d0f26dc6c1eb160343ef6f91a1516d16c53f1e65f6b8336e8977490b973"", ""registered_dapi_binary_sha256"": ""99d8d5e4c45d9e3f475ca25ae1fbf04f697886452b0a4345fdb7375cd82640aa""}}, ""interior_cleanup"": {""covers_dapi_objects_and_prior_outline_pixels"": true, ""opaque_white_fill"": true, ""white_backing_stroke"": false}, ""raw_dapi_base_component"": {""area_px"": 62387, ""bbox_yxyx_half_open"": [0, 621, 653, 861], ""binary_sha256"": ""c4521d0f26dc6c1eb160343ef6f91a1516d16c53f1e65f6b8336e8977490b973"", ""centroid_yx"": [377.91698591052625, 705.0579127061727], ""component_id"": 5, ""contour_path_counts_before_hole_fill"": {""external"": 1, ""tree"": 1}, ""source"": ""registered raw DAPI TIFF, normalized/smoothed low-intensity component""}, ""raw_display_percentiles_0_5_99_5"": [1.5751953125, 255.0], ""render"": ""opaque white corrected midline interior followed by exactly one black outer boundary; no internal subdivision"", ""role"": ""display-only ventricular annotation; never an analysis ROI or denominator"", ""search_bounds_xyxy_half_open"": [412, 0, 961, 762], ""selected_area_px"": 61652, ""selected_bbox_yxyx_half_open"": [2, 629, 648, 858], ""selected_binary_sha256"": ""456634e39b1cf977c71c613e7cd337b4aeb699ac83f1cfca29d021bd5dea7ea2"", ""selected_centroid_yx"": [380.3980892752871, 706.6906831895153], ""source_final_after_completion_and_hole_fill"": {""area_px"": 62387, ""bbox_yxyx_half_open"": [0, 621, 653, 861], ""binary_sha256"": ""c4521d0f26dc6c1eb160343ef6f91a1516d16c53f1e65f6b8336e8977490b973"", ""centroid_yx"": [377.91698591052625, 705.0579127061727], ""connected_components_8"": 1, ""contour_path_counts"": {""external"": 1, ""tree"": 1}}, ""superior_completion"": {""analysis_role"": ""display annotation only; never an analysis ROI or denominator"", ""applied"": false, ""reason"": ""Allulose base raw-DAPI component already reaches the superior frame edge""}}"
C,Allulose,e8-fr6-4-alulosa,display_field_analysis_counts,,,,866x1374,,131,"{""cfos_positive_nuclei"": 271, ""dual_positive_nuclei"": 131, ""npy_positive_nuclei"": 493}"
B/C,matched Water/Allulose,,rendered_panel,/tmp/fig3-hil-refresh-b6hIYu/panels/Figure3_Panel_B_Water_marker_positive_nuclei.png,6ed1650166de5f74c6f56b9ee93f09bc96761704eedeb3e8a2c7809243784165,414650,,,,matched 1x3 status output; method prose intentionally excluded from panel art
B/C,matched Water/Allulose,,rendered_panel,/tmp/fig3-hil-refresh-b6hIYu/panels/Figure3_Panel_B_Water_marker_positive_nuclei.pdf,c1ec14263c8693a1699931c720f33fc3aa8258f07192708a69b0c375eeb177c6,227902,,,,matched 1x3 status output; method prose intentionally excluded from panel art
B/C,matched Water/Allulose,,rendered_panel,/tmp/fig3-hil-refresh-b6hIYu/panels/Figure3_Panel_C_Allulose_marker_positive_nuclei.png,647dbc447da1e9fbb8d09c519c924425e3f9e377b53f6f7e46dc27230f417970,499394,,,,matched 1x3 status output; method prose intentionally excluded from panel art
B/C,matched Water/Allulose,,rendered_panel,/tmp/fig3-hil-refresh-b6hIYu/panels/Figure3_Panel_C_Allulose_marker_positive_nuclei.pdf,b03c8472361725379517df0997b6a14790f729337daf0013f234f9659dc13001,304647,,,,matched 1x3 status output; method prose intentionally excluded from panel art
