panel,value_role,experimental_unit,unit_id,E,subject_id,Treatment,Sex,study_day,value_name,plotted_value
C,mouse_trajectory_descriptive,mouse_descriptive_only,E6|FR3-2,E6,E6|FR3-2,Allulose,Male,3,body_weight_change_pct,-16.633532140490388
C,mouse_trajectory_descriptive,mouse_descriptive_only,E6|FR3-2,E6,E6|FR3-2,Allulose,Male,6,body_weight_change_pct,-20.8416169648774
C,mouse_trajectory_descriptive,mouse_descriptive_only,E9|FR8-1,E9,E9|FR8-1,Sucrose,Male,1,body_weight_change_pct,0.0
C,mouse_trajectory_descriptive,mouse_descriptive_only,E9|FR8-1,E9,E9|FR8-1,Sucrose,Male,3,body_weight_change_pct,-0.0784006272050299
C,mouse_trajectory_descriptive,mouse_descriptive_only,E9|FR8-1,E9,E9|FR8-1,Sucrose,Male,6,body_weight_change_pct,-0.9800078400627203
C,mouse_trajectory_descriptive,mouse_descriptive_only,E11|FR3-3,E11,E11|FR3-3,Water,Male,1,body_weight_change_pct,0.0
C,mouse_trajectory_descriptive,mouse_descriptive_only,E11|FR3-3,E11,E11|FR3-3,Water,Male,3,body_weight_change_pct,-2.356109054190506
C,mouse_trajectory_descriptive,mouse_descriptive_only,E11|FR3-3,E11,E11|FR3-3,Water,Male,6,body_weight_change_pct,-2.524402558061259
C,mouse_trajectory_descriptive,mouse_descriptive_only,E12|FR8-2,E12,E12|FR8-2,Water,Male,1,body_weight_change_pct,0.0
C,mouse_trajectory_descriptive,mouse_descriptive_only,E12|FR8-2,E12,E12|FR8-2,Water,Male,3,body_weight_change_pct,-0.6641760066417607
C,mouse_trajectory_descriptive,mouse_descriptive_only,E12|FR8-2,E12,E12|FR8-2,Water,Male,6,body_weight_change_pct,-1.4113740141137396
C,cage_day_trajectory,cage,E3,E3,,Sucrose,Male,1,cage_mean_body_weight_change_pct,0.0
C,cage_day_trajectory,cage,E3,E3,,Sucrose,Male,3,cage_mean_body_weight_change_pct,1.304711039162125
C,cage_day_trajectory,cage,E3,E3,,Sucrose,Male,6,cage_mean_body_weight_change_pct,0.3680561450252133
C,cage_day_trajectory,cage,E4,E4,,Sucrose,Male,1,cage_mean_body_weight_change_pct,0.0
C,cage_day_trajectory,cage,E4,E4,,Sucrose,Male,3,cage_mean_body_weight_change_pct,-1.6967126193001076
C,cage_day_trajectory,cage,E4,E4,,Sucrose,Male,6,cage_mean_body_weight_change_pct,-3.1459879816189487
C,cage_day_trajectory,cage,E5,E5,,Allulose,Male,1,cage_mean_body_weight_change_pct,0.0
C,cage_day_trajectory,cage,E5,E5,,Allulose,Male,3,cage_mean_body_weight_change_pct,-13.137480491940671
C,cage_day_trajectory,cage,E5,E5,,Allulose,Male,6,cage_mean_body_weight_change_pct,-9.255888890550354
C,cage_day_trajectory,cage,E6,E6,,Allulose,Male,1,cage_mean_body_weight_change_pct,0.0
C,cage_day_trajectory,cage,E6,E6,,Allulose,Male,3,cage_mean_body_weight_change_pct,-16.633532140490388
C,cage_day_trajectory,cage,E6,E6,,Allulose,Male,6,cage_mean_body_weight_change_pct,-20.8416169648774
C,cage_day_trajectory,cage,E9,E9,,Sucrose,Male,1,cage_mean_body_weight_change_pct,0.0
C,cage_day_trajectory,cage,E9,E9,,Sucrose,Male,3,cage_mean_body_weight_change_pct,-0.0784006272050299
C,cage_day_trajectory,cage,E9,E9,,Sucrose,Male,6,cage_mean_body_weight_change_pct,-0.9800078400627203
C,cage_day_trajectory,cage,E11,E11,,Water,Male,1,cage_mean_body_weight_change_pct,0.0
C,cage_day_trajectory,cage,E11,E11,,Water,Male,3,cage_mean_body_weight_change_pct,-2.356109054190506
C,cage_day_trajectory,cage,E11,E11,,Water,Male,6,cage_mean_body_weight_change_pct,-2.524402558061259
C,cage_day_trajectory,cage,E12,E12,,Water,Male,1,cage_mean_body_weight_change_pct,0.0
C,cage_day_trajectory,cage,E12,E12,,Water,Male,3,cage_mean_body_weight_change_pct,-0.6641760066417607
C,cage_day_trajectory,cage,E12,E12,,Water,Male,6,cage_mean_body_weight_change_pct,-1.4113740141137396
D,cage_endpoint,cage,E3,E3,,Sucrose,Male,6,cage_mean_body_weight_change_pct,0.3680561450252133
D,cage_endpoint,cage,E4,E4,,Sucrose,Male,6,cage_mean_body_weight_change_pct,-3.1459879816189487
D,cage_endpoint,cage,E5,E5,,Allulose,Male,6,cage_mean_body_weight_change_pct,-9.255888890550354
D,cage_endpoint,cage,E6,E6,,Allulose,Male,6,cage_mean_body_weight_change_pct,-20.8416169648774
D,cage_endpoint,cage,E9,E9,,Sucrose,Male,6,cage_mean_body_weight_change_pct,-0.9800078400627203
D,cage_endpoint,cage,E11,E11,,Water,Male,6,cage_mean_body_weight_change_pct,-2.524402558061259
D,cage_endpoint,cage,E12,E12,,Water,Male,6,cage_mean_body_weight_change_pct,-1.4113740141137396
