animal_id,animal_key,region,cond,genotype,sex,cage,endpoint,raw_value,numerator,denominator,valid_for_inference,exclusion_reason
FR-722,fr722,ME,Allulose,Tg,M,JAULA1,total_cfos_activation_fraction,0.03157489410858683,82.0,2597.0,True,
FR6-1,fr61,ME,Allulose,Tg,F,JAULA3,total_cfos_activation_fraction,0.1287940935192781,157.0,1219.0,True,
FR8-1,fr81,ME,Allulose,WT,F,JAULA3,total_cfos_activation_fraction,0.06178489702517163,27.0,437.0,True,
FR6-3,fr63,ME,Allulose,WT,F,JAULA5,total_cfos_activation_fraction,0.2048417132216015,110.0,537.0,True,
FR8-3,fr83,ME,Allulose,WT,F,JAULA5,total_cfos_activation_fraction,0.19148936170212766,18.0,94.0,True,
FR-724,fr724,ME,Sucrose,WT,M,JAULA2,total_cfos_activation_fraction,0.22580645161290322,14.0,62.0,True,
FR7-23,fr723,ME,Sucrose,WT,M,JAULA2,total_cfos_activation_fraction,0.19559228650137742,71.0,363.0,True,
FR6-2,fr62,ME,Sucrose,Tg,F,JAULA4,total_cfos_activation_fraction,0.1267605633802817,63.0,497.0,True,
FR7-3,fr73,ME,Sucrose,WT,F,JAULA8,total_cfos_activation_fraction,0.21428571428571427,90.0,420.0,True,
FR7-4,fr74,ME,Sucrose,WT,F,JAULA8,total_cfos_activation_fraction,0.0768277571251549,62.0,807.0,True,
FR7-1,fr71,ME,Water,WT,F,JAULA6,total_cfos_activation_fraction,0.02798708288482239,26.0,929.0,True,
FR6-5,fr65,ME,Water,WT,F,JAULA7,total_cfos_activation_fraction,0.05860113421550094,93.0,1587.0,True,
FR7-2,fr72,ME,Water,WT,F,JAULA7,total_cfos_activation_fraction,0.11797752808988764,84.0,712.0,True,
