animal_id,sample_id,condition,acquisition_batch,channel,segmentation_path,segmentation_relative_mapping,segmentation_sha256,segmentation_bytes,mask_shape_y,mask_shape_x,mask_dtype,mask_objects,labels_contiguous,model_path_recorded,model_basename_recorded,flow_threshold_recorded,cellprob_threshold_recorded,diameter_recorded,manual_label_count,manual_flag_count,manual_change_record_count,cellpose_source_filename_recorded,classification_rule,used_for_spatial_analysis,base_analysis_version_source,base_cfos_min_roi_area_px,base_cfos_dapi_overlap_fraction,base_npy_min_overlap_px,base_npy_dapi_overlap_fraction,channel_model_mode,matches_channel_model_mode,model_setting_caveat
E8_FR6-3,e8-fr6-3-alulosa,Allulose,legacy_apotome_25x_2025_rgb8,NPY,Fig3/raw/legacy_experiment_2025_07_28/E8-FR6-3_ALULOSA_gfp_seg.npy,E8-FR6-3_ALULOSA_gfp_seg.npy,3abef3c65b50a70f0b640cdf2eece24b22044842b793d2de68519cfe3be14734,26299747,951,1380,uint16,197,True,/home/server/.cellpose/models/cfos_channel3,cfos_channel3,0.4,0,,10,197,17,/media/server/STORAGE/Apotome/2025.07.28_NPY/E8-FR6-3_ALULOSA_gfp.tif,NPY union overlap >=1 px and >=0.05 of DAPI nucleus,True,Fig3/01_analyze_cfos_npy.py,5,0.4,1,0.05,cfos_channel3,True,
E8_FR6-3,e8-fr6-3-alulosa,Allulose,legacy_apotome_25x_2025_rgb8,c-FOS,Fig3/raw/legacy_experiment_2025_07_28/E8-FR6-3_ALULOSA_fos_seg.npy,E8-FR6-3_ALULOSA_fos_seg.npy,1796f5ff8dba14c76c69facc6574d7f386b61d7e023aa1eca38ebbd9c2119454,26261138,951,1380,uint16,186,True,/home/server/.cellpose/models/cfos_channel3,cfos_channel3,0.4,0,,5,186,5,/media/server/STORAGE/Apotome/2025.07.28_NPY/E8-FR6-3_ALULOSA_fos.tif,c-FOS ROI area >=5 px; best DAPI overlap fraction >=0.40,True,Fig3/01_analyze_cfos_npy.py,5,0.4,1,0.05,cfos_channel3,True,
E8_FR6-4,e8-fr6-4-alulosa,Allulose,legacy_apotome_25x_2025_rgb8,DAPI,Fig3/raw/legacy_experiment_2025_07_28/E8-FR6-4_ALULOSA_dapi_seg.npy,E8-FR6-4_ALULOSA_dapi_seg.npy,f3ba80789acb7a2d1b79241236fef7fbee11d66a3f3db7c8f959e8c077965314,26178306,946,1382,uint16,3372,True,/home/server/.cellpose/models/dapi_channel,dapi_channel,0.4,0,,6,3372,6,/media/server/STORAGE/Apotome/2025.07.28_NPY/E8-FR6-4_ALULOSA_dapi.tif,all positive contiguous DAPI labels,True,Fig3/01_analyze_cfos_npy.py,5,0.4,1,0.05,dapi_channel,True,
E8_FR6-4,e8-fr6-4-alulosa,Allulose,legacy_apotome_25x_2025_rgb8,NPY,Fig3/raw/legacy_experiment_2025_07_28/E8-FR6-4_ALULOSA_gfp_seg.npy,E8-FR6-4_ALULOSA_gfp_seg.npy,81978bcca94d0e74e6cdd5d53291283aa54e6ab9288d4531072ac4cf889c0d14,26166661,946,1382,uint16,265,True,/home/server/.cellpose/models/cfos_channel3,cfos_channel3,0.4,0,,5,265,5,/media/server/STORAGE/Apotome/2025.07.28_NPY/E8-FR6-4_ALULOSA_gfp.tif,NPY union overlap >=1 px and >=0.05 of DAPI nucleus,True,Fig3/01_analyze_cfos_npy.py,5,0.4,1,0.05,cfos_channel3,True,
E8_FR6-4,e8-fr6-4-alulosa,Allulose,legacy_apotome_25x_2025_rgb8,c-FOS,Fig3/raw/legacy_experiment_2025_07_28/E8-FR6-4_ALULOSA_fos_seg.npy,E8-FR6-4_ALULOSA_fos_seg.npy,b0df57d75a7307980a81cb34d280044e3cf6ea7b54fe82b12899838577a51dca,26157113,946,1382,uint16,328,True,/home/server/.cellpose/models/cfos_channel3,cfos_channel3,0.4,0,,3,328,3,/media/server/STORAGE/Apotome/2025.07.28_NPY/E8-FR6-4_ALULOSA_fos.tif,c-FOS ROI area >=5 px; best DAPI overlap fraction >=0.40,True,Fig3/01_analyze_cfos_npy.py,5,0.4,1,0.05,cfos_channel3,True,
E9_FR8-1,e9-fr8-1,Sucrose,legacy_apotome_25x_2025_rgb8,DAPI,Fig3/raw/legacy_experiment_2025_07_28/E9-FR8-1_dapi_seg.npy,E9-FR8-1_dapi_seg.npy,604bb94ab52dc5164778cd84a891213eab35f7567f4e2664d36da6ceca9beb16,26163473,1382,946,uint16,2316,True,/home/server/.cellpose/models/dapi_channel,dapi_channel,0.4,0,,3,2316,3,/media/server/STORAGE/Apotome/2025.07.28_NPY/E9-FR8-1_dapi.tif,all positive contiguous DAPI labels,True,Fig3/01_analyze_cfos_npy.py,5,0.4,1,0.05,dapi_channel,True,
E9_FR8-1,e9-fr8-1,Sucrose,legacy_apotome_25x_2025_rgb8,NPY,Fig3/raw/legacy_experiment_2025_07_28/E9-FR8-1_gfp_seg.npy,E9-FR8-1_gfp_seg.npy,6613a9de314ed044f7acaf80f42e557f312b680587a3bbaaca68e42bcd76ea85,26400794,1382,946,uint16,202,True,/home/server/.cellpose/models/cfos_channel3,cfos_channel3,0.4,0,,5,202,75,/media/server/STORAGE/Apotome/2025.07.28_NPY/E9-FR8-1_gfp.tif,NPY union overlap >=1 px and >=0.05 of DAPI nucleus,True,Fig3/01_analyze_cfos_npy.py,5,0.4,1,0.05,cfos_channel3,True,
E9_FR8-1,e9-fr8-1,Sucrose,legacy_apotome_25x_2025_rgb8,c-FOS,Fig3/raw/legacy_experiment_2025_07_28/E9-FR8-1_fos_seg.npy,E9-FR8-1_fos_seg.npy,ebea3ba28318a515cefca38d152b6c25f3a9f9875581197209879d0bd3ff4bfd,26162715,1382,946,uint16,35,True,/home/server/.cellpose/models/cfos_channel3,cfos_channel3,0.4,0,,6,35,8,/media/server/STORAGE/Apotome/2025.07.28_NPY/E9-FR8-1_fos.tif,c-FOS ROI area >=5 px; best DAPI overlap fraction >=0.40,True,Fig3/01_analyze_cfos_npy.py,5,0.4,1,0.05,cfos_channel3,True,
WATER_NPY1,water-npy1-0001,Water,legacy_water_2025,DAPI,Fig3/raw/legacy_experiment_2025_07_28/water/WATER_NPY1-0001_dapi_seg.npy,water/WATER_NPY1-0001_dapi_seg.npy,0f2ed27f48b02b6b49887d073184e0c9ed64a53b2e8e83d42da9a7b285a5e052,162426731,2840,2859,uint16,7172,True,/home/server/.cellpose/models/dapi_channel,dapi_channel,0.4,0,,3,7172,3,/media/server/STORAGE/Apotome/29.09.2025/MAX_NPY-0001_dapi.tif,all positive contiguous DAPI labels,True,Fig3/01_analyze_cfos_npy.py,5,0.4,1,0.05,dapi_channel,True,
WATER_NPY1,water-npy1-0001,Water,legacy_water_2025,NPY,Fig3/raw/legacy_experiment_2025_07_28/water/WATER_NPY1-0001_GFP_seg.npy,water/WATER_NPY1-0001_GFP_seg.npy,7e10840e389a8aef1d01b3846e89c47b6582a97e5a581c214dc916e80f771b59,162424831,2840,2859,uint16,211,True,/home/server/.cellpose/models/cfos_channel3,cfos_channel3,0.4,0,,2,211,7,/media/server/STORAGE/Apotome/29.09.2025/MAX_NPY-0003_GFP.tif,NPY union overlap >=1 px and >=0.05 of DAPI nucleus,True,Fig3/01_analyze_cfos_npy.py,5,0.4,1,0.05,cfos_channel3,True,
WATER_NPY1,water-npy1-0001,Water,legacy_water_2025,c-FOS,Fig3/raw/legacy_experiment_2025_07_28/water/WATER_NPY1-0001_fos_seg.npy,water/WATER_NPY1-0001_fos_seg.npy,3731ab03188d5acc90fdcfe8a8a69b6a0a7b22a73bb41fe20fd7dbdf04e56eef,165186891,2840,2859,uint16,667,True,/home/server/.cellpose/models/cfos_channel3,cfos_channel3,0.4,0,,0,667,9,/media/server/STORAGE/Apotome/29.09.2025/MAX_NPY-0002_fos.tif,c-FOS ROI area >=5 px; best DAPI overlap fraction >=0.40,True,Fig3/01_analyze_cfos_npy.py,5,0.4,1,0.05,cfos_channel3,True,
WATER_NPY2,water-npy2-0001,Water,legacy_water_2025,DAPI,Fig3/raw/legacy_experiment_2025_07_28/water/WATER_NPY2-0001_dapi_seg.npy,water/WATER_NPY2-0001_dapi_seg.npy,fb77993b5d928e6f9fc19043e076554729db5721203f1780feba9675d2f12c0b,282574685,3749,3768,uint16,11608,True,/home/server/.cellpose/models/dapi_channel,dapi_channel,0.4,0,,1,11608,1,/media/server/STORAGE/Apotome/29.09.2025/WATER_NPY2-0001_dapi.tif,all positive contiguous DAPI labels,True,Fig3/01_analyze_cfos_npy.py,5,0.4,1,0.05,dapi_channel,True,
WATER_NPY2,water-npy2-0001,Water,legacy_water_2025,NPY,Fig3/raw/legacy_experiment_2025_07_28/water/WATER_NPY2-0001_GFP_seg.npy,water/WATER_NPY2-0001_GFP_seg.npy,5af0388dea2894f3d20b7794ae424bb5f66a9dd682d794744478fabcd560819d,283434332,3749,3768,uint16,177,True,/home/server/.cellpose/models/cfos_channel3,cfos_channel3,0.4,0,,1,177,162,/media/server/STORAGE/Apotome/2025.07.28_NPY/water/WATER_NPY2-0001_GFP.tif,NPY union overlap >=1 px and >=0.05 of DAPI nucleus,True,Fig3/01_analyze_cfos_npy.py,5,0.4,1,0.05,cfos_channel3,True,
WATER_NPY2,water-npy2-0001,Water,legacy_water_2025,c-FOS,Fig3/raw/legacy_experiment_2025_07_28/water/WATER_NPY2-0001_fos_seg.npy,water/WATER_NPY2-0001_fos_seg.npy,b6e82a6c85966dba752dca04bb8e21d9a05027b44c1b3fbf465cbfc5dcfea85d,284018442,3749,3768,uint16,822,True,/home/server/.cellpose/models/cfos_channel3,cfos_channel3,0.4,0,,0,822,3,/media/server/STORAGE/Apotome/29.09.2025/WATER_NPY2-0002_fos.tif,c-FOS ROI area >=5 px; best DAPI overlap fraction >=0.40,True,Fig3/01_analyze_cfos_npy.py,5,0.4,1,0.05,cfos_channel3,True,
WATER_NPY3,water-npy3-s01,Water,leica_sp8_40x_2026_21_plane_zmax_rgb16,DAPI,Fig3/raw/legacy_experiment_2025_07_28/water/WATER_NPY3_S01_dapi_seg.npy,water/WATER_NPY3_S01_dapi_seg.npy,f2fe88d7ea465247ac1eff4c388391e0b5c287b9436420b5012f6a071d2a5f82,53881374,1419,1898,uint16,3224,True,/home/server/.cellpose/models/dapi_channel,dapi_channel,0.4,0,,1,3224,1,/media/server/STORAGE/Apotome/Paper/Fig3/hil_review/Water3_machine_gpu_20260823_v1/WATER_NPY3_S01_dapi.tif,all positive contiguous DAPI labels,True,Fig3/01_analyze_cfos_npy.py,5,0.4,1,0.05,dapi_channel,True,
WATER_NPY3,water-npy3-s01,Water,leica_sp8_40x_2026_21_plane_zmax_rgb16,NPY,Fig3/raw/legacy_experiment_2025_07_28/water/WATER_NPY3_S01_GFP_seg.npy,water/WATER_NPY3_S01_GFP_seg.npy,477a965a90b442d3b814d41405ce30083bab84e8e2f4028f42995959a70b2a0c,53945479,1419,1898,uint16,196,True,/home/server/.cellpose/models/cfos_channel3,cfos_channel3,0.4,0,,10,196,29,/media/server/STORAGE/Apotome/Paper/Fig3/hil_review/Water3_machine_gpu_20260823_v1/WATER_NPY3_S01_GFP.tif,NPY union overlap >=1 px and >=0.05 of DAPI nucleus,True,Fig3/01_analyze_cfos_npy.py,5,0.4,1,0.05,cfos_channel3,True,
WATER_NPY3,water-npy3-s01,Water,leica_sp8_40x_2026_21_plane_zmax_rgb16,c-FOS,Fig3/raw/legacy_experiment_2025_07_28/water/WATER_NPY3_S01_fos_seg.npy,water/WATER_NPY3_S01_fos_seg.npy,50a93a70f12088afb1f63aaa337636003cb242e41d0c2ae94c894efd21816648,53873392,1419,1898,uint16,54,True,/home/server/.cellpose/models/cfos_channel3,cfos_channel3,0.4,0,,1,54,1,/media/server/STORAGE/Apotome/Paper/Fig3/hil_review/Water3_machine_gpu_20260823_v1/WATER_NPY3_S01_fos.tif,c-FOS ROI area >=5 px; best DAPI overlap fraction >=0.40,True,Fig3/01_analyze_cfos_npy.py,5,0.4,1,0.05,cfos_channel3,True,
