endpoint,endpoint_label,test,comparison,n_animals,n_water,n_sucrose,n_allulose,feature_count,feature_transform,distance,pseudo_f,r_squared,p_value_exact,extreme_labelings,enumerated_labelings,permutation_exhaustive,experimental_unit,cells_as_independent_replicates,analysis_tier,bh_q_value_two_endpoint_family,multiple_testing_family
cfos_occurrence,c-FOS-positive nuclei / DAPI nuclei spatial occurrence,exact animal-label PERMANOVA,Water|Sucrose|Allulose,9,3,3,3,6,arcsin(sqrt(shell positive nuclei / shell DAPI nuclei)),Euclidean on six-shell animal vectors,3.29322477547,0.523296861779,0.121428571429,204,1680,True,biological animal,False,exploratory,0.121428571429,two declared global spatial occurrence profiles: c-FOS/DAPI and c-FOS+NPY/DAPI
double_occurrence,c-FOS and NPY double-positive nuclei / DAPI nuclei spatial occurrence,exact animal-label PERMANOVA,Water|Sucrose|Allulose,9,3,3,3,6,arcsin(sqrt(shell positive nuclei / shell DAPI nuclei)),Euclidean on six-shell animal vectors,12.5706139381,0.807329369804,0.0107142857143,18,1680,True,biological animal,False,exploratory,0.0214285714286,two declared global spatial occurrence profiles: c-FOS/DAPI and c-FOS+NPY/DAPI
