animal_id,sample,section_index,tile,schema_version,algorithm,status,method,requires_manual_review,hil_receipt_bound_to_registration,manual_registration_confirmed,right_origin_x_px,right_shift_y_px,right_medial_crop_px,overlap_width_px,gap_px,raw_overlap_ncc,gradient_overlap_ncc,ncc_best_score,ncc_second_score,ncc_uniqueness_margin,registration_json,registration_json_sha256,registered_dapi_sha256,registered_dapi_labels_sha256,registered_cfos_sha256,registered_cfos_labels_sha256,registered_pomc_sha256,registered_pomc_labels_sha256,input_left_dapi_sha256,input_right_dapi_sha256,registered_npy_sha256,registered_npy_labels_sha256
FR-722,FR722(RV),1,,fig4_stitch_registration_v1,dapi_integer_overlap_v1,manual_review_required,anatomical_y_fallback,True,True,True,960,0,0,0,0,,,0.4539768678502924,0.4407897404592437,0.013187127391048714,/media/server/STORAGE/Apotome/Paper/analyses/Fig4/results/local_dapi_size_20260909/reconstructed_sections/FR-722/FR722(RV)_S01/stitch_registration.json,426154fab67fd3cfc52fc8887a6336a500573a3ea7a9df5f220aa116b301268f,5643f06c1ac8d0fc0d0cbd68ad4040d606c3c4537644d5364552029682233d60,4c673edcff368346baae35a299d451261d0802a61ac41b863733ce8af42095f0,16fba279b4aecc03d68aa4cb7065074951ec479e654e233b4c304a496b841faa,7cc21e8e5485b3a52612c90688b532e179117015f110c44828d59905558a1e15,35d67026425c061e07f82a9489c133680508f0bad8d94e0a6b2623e7b10a4802,1f17ff905c54fe0190c0c373617a202ef43543b6896891f10102dad8c43b53e8,01d80b714e42558cf02ba3a4c35f3518f7ee2c4bf3a9dec1f5671d70f81852e9,b4c1c7e996e418a4a457af6d27b5534cfd4e4939a0df323ed37b31b0a99d8dae,980b53b5c70f4c263e868eb13eb617229a7fb093f4c7dd3a49ce517ae3932a7b,595971ee64038f30569b56d63e441ff0582b8db58309644cfc7d14ae59bcfca2
FR-722,FR722(RV),2,,fig4_stitch_registration_v1,dapi_integer_overlap_v1,manual_review_required,sift_ransac_raw_ncc,True,True,True,839,64,93,121,0,0.985189,0.932702,,,,/media/server/STORAGE/Apotome/Paper/analyses/Fig4/results/local_dapi_size_20260909/reconstructed_sections/FR-722/FR722(RV)_S02/stitch_registration.json,dfcba2f62775db00a9c8c51fc85ff746346d8722314b3713dab2998bad18f749,24d8bc2a2b4c97becbd7c9b7971bff925c1d068ebb723e1a2039fc203e76b163,eb6d6637b6a9b23f1bdff1b08da809dc2535d134b255305133e1d6ebd2aa4b4d,2c92b2a7586e7ff78a5892c8d0d3761b9d3d0312601873afbb8ff430ef21a78e,b8ce197d9ad9a2852bad2c99d321cc73e775e8b8818d489fd96f69a1d4b1af3a,ff9c0c7695eb98396681040cfd705212e3f90b608a067a12c9b5a3b95199baed,4fe2dd17a774aa898fcbe9cb40c005098c69b16e35a16846de9c03a0271272ae,6af4eaf1210ca2e808703eef364c460406b0dcd4375da9dae21089ba5efff0dd,d18f7373fbf2b6893f647272865cbc5ee65eb66c9eb17e9c1c042cd0fe041650,721dfec010a1b5bdda8f8b528c7595322bd51329e820eb305a43796993a63574,42ec93e7c647e9725a4febe5e501ed209b9f6d76423748d78c4ad392fe9e6129
FR-722,FR722(RV),3,,fig4_stitch_registration_v1,dapi_integer_overlap_v1,manual_review_required,sift_ransac_raw_ncc,True,True,True,875,20,44,85,0,0.98598,0.934277,,,,/media/server/STORAGE/Apotome/Paper/analyses/Fig4/results/local_dapi_size_20260909/reconstructed_sections/FR-722/FR722(RV)_S03/stitch_registration.json,ef070a60fe1a74e7758da60b0776bec9090fc924f11e3734b3fc1db18ebc4c4d,922f32ab3ad96973500a8bbbd6b36430abd28de014196d6ba24aa8dae3dbea25,0b8f316a593bf8300b52524543f22314adf0a1e2b086bb903077a57ec4c44ec4,a345fc3fb598abe29ed877ca4c6cc7216be7d261b35ebd559239700d2d1bcfe4,304a4b7130ba9b1e1237015a6186b793bbe16538d9901d54a0e4f25becf39906,06672b58c637d7027398c773a781a59dbd3a9e62541719e8988d7d10b61685e0,2ce6fa5a00f9260705288bcf45b96e7b57419aa59be862609f24031ebb05d29c,9034ed1e11d6dca482036b6987801d073d46ffe583b8ba762d5fe71afbcb909a,ba6175701f2983c512d13918fbca0a34d1441a762b476ad69b6d7a2469775cce,9e394e30fa5dff5bf5d77521c56b9e87ad5cc5649a0d18440e7f2e7fd7c8d4f3,ca9ab67f3bc927023caf97a6d53af691313d41ce3dea5d53ea5521013e78fe11
FR-722,FR722(RV),4,,fig4_stitch_registration_v1,dapi_integer_overlap_v1,manual_review_required,sift_ransac_raw_ncc,True,True,True,911,48,15,49,0,0.980101,0.925539,,,,/media/server/STORAGE/Apotome/Paper/analyses/Fig4/results/local_dapi_size_20260909/reconstructed_sections/FR-722/FR722(RV)_S04/stitch_registration.json,a58613c4b84ec019296b54c4e0a296dfa76d151c2bd5ee7b7532e67158b98988,9c0e095b18e9ff364909d11e76dd46e000499219876eca8e1a25aa37584e7ffc,c5fe63a2da831429dd7ea514c9ade84c51ce2f8a4b3e5df47491c0ad73b077d6,763ddc2943c27f14c45e6c8c86769d3e24a580ac4f59170b65050aa124ee7068,8315cd45155f7186ddf058436c1bef28de242580470705e9be2df49fee0c7bc2,3c205213dfee746b5418484a19c73fb5defcf6603653e5c8ef74a88264b463e9,d8cdaf3fe7499df4957c866a65f04f2742962934a069c841d3cb2654f1eaa443,230c07fdd9af92c8c526d13b6898e8334dfbac8c71b66ccaca11a8ca36865fee,4a7ebcd602328a2186b3d5401ae4d20d3159d69f3ab3144b7931604b90a91eae,ef2c177db6921ba17219d15444eb2480ff03ad55780f63839df28936dab65476,50e43c1804567b94e043fbfd54d57cb61b8225aca3431cdf67a759074498a2a2
FR-724,FR724,1,,fig4_stitch_registration_v1,dapi_integer_overlap_v1,manual_review_required,anatomical_y_fallback,True,True,True,960,58,0,0,0,,,0.4394964287324122,0.43759621493468703,0.0019002137977251476,/media/server/STORAGE/Apotome/Paper/analyses/Fig4/results/local_dapi_size_20260909/reconstructed_sections/FR-724/FR724_S01/stitch_registration.json,1bdee9d99db5c28dfefce1e2899669241883b1973d9ddaa368fc8549fe3acc6a,844ea0541278c6146ccb570fbae494e5ca9e99a656603462c01c92e0029ad217,26fffd10bdfb5be2aa3d9b0d413597f0d981b7d49652bf53b88e676b972b4092,78a78bb081609f16c538a0fb4175b68b2b167ae167ea4da76650a7f320273e36,478d0fd848028c76e5ce09e2e7c7217ea82eee305f550d8f1b3a7119c0581d42,f192e511b927b6eb8368dc5234ffdb1415e9b5ee3de47bb242239e7bd986d742,04691cfaa77a8720427d138a676cb28b47ef5b1978d6afc4f05629ceb77c43b6,a9cc5b7fad91e5b91989452fc1e089eae0363bc3a94dc1acac0265f892678161,4fca16382a0afb44bebac5b094b89c9a03cc5bfc3adbfe174609d1f6853d5940,,
FR-724,FR724,2,,fig4_stitch_registration_v1,dapi_integer_overlap_v1,manual_review_required,anatomical_y_fallback,True,True,True,960,0,0,0,0,,,0.41216875346008897,0.41092508361868735,0.0012436698414016178,/media/server/STORAGE/Apotome/Paper/analyses/Fig4/results/local_dapi_size_20260909/reconstructed_sections/FR-724/FR724_S02/stitch_registration.json,1e35197c122bbd952d722b7ef8ebb95534a869a70c58860d7ee138f7b74e2440,bf25aa42e89d228f6de6c7cf389eb47747e9cc18a0a489ac5869c7ff77167b5d,f32919bd84def09419667d6c55a80703dfa0e07b8e3790709ebf46b28fd54104,71b8cd1c87c0cfb9c2a14da1405406b4710d8d898b496b8b57ee86fb276311ec,99fdc7a5a51c71d1519437744303f30b1497f2677dedec578a38bc9d227c6f3c,14d3e35b003bc627cd08795b51364cee948767d4debdb78837bc5cb223799244,0e852c54ca45c1f7251ffb81397385fe46906060f4f33b469b3db0a1acee58e0,f58a8c022aba824abaddfbe18e5f720c40a967c9797657cafe693cf17470c224,c4aed409dc161f56c6b8b99ebf29f4dfe8fc295410834695ad75e788583af0d1,,
FR-724,FR724,3,,fig4_stitch_registration_v1,dapi_integer_overlap_v1,manual_review_required,sift_ransac_raw_ncc,True,True,True,930,-3,15,30,0,0.996026,0.937578,,,,/media/server/STORAGE/Apotome/Paper/analyses/Fig4/results/local_dapi_size_20260909/reconstructed_sections/FR-724/FR724_S03/stitch_registration.json,d7462c197d6402cae118112f0ec7b75cf3f0a05f8b3be7a843b17facf414217c,c903f0485b73f42ecf2e2be4d629b127b28138bad38f8f204128ac1e15dcc3fd,0a594cc7204765b9395dbed4a34de8c0de0996063cce8ce3087ba811c2e2e6b7,fe476fda0132853799f52a8dc8e5a0d89b00e18bdb0995ce38f6605c4576d31f,d81a843fb29ab0abbf217da8b89c83277adbe33411d53c4236d05c2b4122f24a,986f201aa62f638e8ac077deceadeeb8246f6e162cf8a81bc94e5559e4dcf970,d62ba0217e9d4b88886a65c80b08586ff1236e0cf99ca8fddb05c0ed53a78579,40c46204351f4a5e16f80dc2695e9102a9d7083512ab4029cef43fa44fda63ef,5836277568b5adeaebad25c998a09647f048453525cb36010ba90dc75b201321,,
FR-724,FR724,4,,fig4_stitch_registration_v1,dapi_integer_overlap_v1,manual_review_required,anatomical_y_fallback,True,True,True,960,0,0,0,0,,,0.18354080560037817,0.17321321038241622,0.010327595217961949,/media/server/STORAGE/Apotome/Paper/analyses/Fig4/results/local_dapi_size_20260909/reconstructed_sections/FR-724/FR724_S04/stitch_registration.json,57f6ede5ea3ce8ea382190b065b1cb8c7fc86fee33a63000861021d35261a4c0,3a9df8612867771578223e558d6ad1948bdcd6dedc6042cea1387ceaa9938606,ab72c87bd7f4e7a2b5c52031eae2aeeb819857fe1269f3ce881228618242f1dd,5a3cc3271a516771709d712ffc82d8c8441dfffcb3a6d4f7c4e39a16760facd5,35e0af711009686eb36ee0c35edde0c2c30a3347f580e56fa2490f28851576aa,927a234cc47f17a0494097b4bee40adc7e6d477c5a0c1daba58c869fe9b1397b,6ee8a944f607aab217834c1d7a670e1ef4ac02423d087f02891a7de26cb73c39,f091ef236bb740bf2833e202fb59805f132aeeded90576e4403eeb04aacee80f,5541dec203c3fef734c94eeac5ef5d3ac7050e68e4682b990ae0f1668a9a5aab,,
FR-724,FR724,5,,fig4_stitch_registration_v1,dapi_integer_overlap_v1,manual_review_required,anatomical_y_fallback,True,True,True,960,0,0,0,0,,,0.20657916150020456,0.20107074849209666,0.005508413008107893,/media/server/STORAGE/Apotome/Paper/analyses/Fig4/results/local_dapi_size_20260909/reconstructed_sections/FR-724/FR724_S05/stitch_registration.json,d3a028414316855baf044358aefead8e507c41441ea226f19a6af6f1f334407b,cac70768cfeb37dd589d84c3071f5d80637e07332c58d61a95941155a28da149,fa4c12b765bdc733a78ba925433a9d1244d606c5498e12da93ee381841ce5b87,b23d79c3ca5dea133b0084f04ccd26c0dee4510b9277acc7c713e98eea004036,10e8bbf22404cb9b18c83fac6874ae115055b7d234ed35f400e4aa1285dcff31,840d7c48e42e5ee0b1be8a3cda7dc81f2251409766a0c4e6e8bf6ad7dfde2546,eebbcfa51dd0348765726d9e733d70aa8ffe4cccf01b3a43cf154d4296a90930,a7112382d761c4dfda0bb81bf2d2c84164176e296dee8a3b4344e72dcc77d00f,f508d640dff8f107ef56d997c0f70a1e5f26899ddb8cd739f37b36e994be2c29,,
FR-724,FR724(R),1,,fig4_stitch_registration_v1,dapi_integer_overlap_v1,manual_review_required,anatomical_y_fallback,True,True,True,960,0,0,0,0,,,0.22896930217330216,0.2184706278323449,0.010498674340957276,/media/server/STORAGE/Apotome/Paper/analyses/Fig4/results/local_dapi_size_20260909/reconstructed_sections/FR-724/FR724(R)_S01/stitch_registration.json,f289db01c079e1e1eb9064eb0a7bb19dc5af25b199e7754a11c41c8a35f7436c,9d93bf38cd50518405d93e2f625d7115b4fc8371518783dc4cca7394e2083956,51a26e79ff8920c83eaebd0cc2031f99cb4ffb7bfa2c8e8f8a44fdedc5c1a52c,cab7d8c81ba85cee20f0fed39783a5169852eea8b9b5590cbe57cbe1cc952fab,37bc39929c3748a443d5b6fa0a0e84e90151e4e2f92b5e577f84f17a8a1d25fd,57e4a9e473b2671a9d162f0664aa788762873414fefb0e99070b414ac5bdf022,d42195d5f0be849f4c37ecf368db2327dbf08736e18523ddc0d2fe663681ed70,965eae66c576b3164dbd74a33d524aec9439c3134f10d26fef100f6a6cd934d5,a1edb35609dcd0d33e0badef75ce8528ad8bfd6312205622f226cc1ff77f8d53,,
